row_label_raw,row_label_full,col_0,Quyên sử dụng đất VND,Phân mềm vi tính VND,Tổng cộng VND,numeric__Quyên sử dụng đất VND,numeric__Phân mềm vi tính VND,numeric__Tổng cộng VND
NGUYÊN GIÀ,NGUYÊN GIÀ,NGUYÊN GIÀ,NGUYÊN GIÀ,NGUYÊN GIÀ,NGUYÊN GIÀ,,,
Tại ngày 01 tháng 01 năm 2023,NGUYÊN GIÀ > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,618.292.634,100.000.000,718.292.634,618292634.0,100000000.0,718292634.0
Mua trong năm,Mua trong năm,Mua trong năm,-,-,-,,,
Tại ngày 31 tháng 12 năm 2023,Mua trong năm > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,618.292.634,100.000.000,718.292.634,618292634.0,100000000.0,718292634.0
GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,GIA TRỊ HAO MON LỦY KẾ,,,
Tại ngày 01 tháng 01 năm 2023,GIA TRỊ HAO MON LỦY KẾ > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,77.322.313,45.916.667,123.238.980,77322313.0,45916667.0,123238980.0
Khẩu hao trong năm,GIA TRỊ HAO MON LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,12.881.088,11.000.004,23.881.092,12881088.0,11000004.0,23881092.0
Tại ngày 31 tháng 12 năm 2023,GIA TRỊ HAO MON LỦY KẾ > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,90.203.401,56.916.671,147.120.072,90203401.0,56916671.0,147120072.0
GIA TRỊ CON LẠI,GIA TRỊ CON LẠI,GIA TRỊ CON LẠI,GIA TRỊ CON LẠI,GIA TRỊ CON LẠI,GIA TRỊ CON LẠI,,,
Tại ngày 01 tháng 01 năm 2023,GIA TRỊ CON LẠI > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,540.970.321,54.083.333,595.053.654,540970321.0,54083333.0,595053654.0
Tại ngày 31 tháng 12 năm 2023,GIA TRỊ CON LẠI > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,528.089.233,43.083.329,571.172.562,528089233.0,43083329.0,571172562.0
