row_label_raw,row_label_full,col_0,31.12.2023VND,01.01.2023VND,numeric__31.12.2023VND,numeric__01.01.2023VND
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,1.642.104.226,1.949.088.664,1642104226.0,1949088664.0
Tạm ứng,Tạm ứng,Tạm ứng,276.403.425,414.342.117,276403425.0,414342117.0
Các khoản khác,Các khoản khác,Các khoản khác,7.779.772.126,74.005.710.864,7779772126.0,74005710864.0
Bên liên quan,Bên liên quan,Bên liên quan,-,47.912.104.711,,47912104711.0
Công ty Cố phần Tập đoàn Đèo Cả,Công ty Cố phần Tập đoàn Đèo Cả,Công ty Cố phần Tập đoàn Đèo Cả,-,26.298.646.606,,26298646606.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,-,21.613.458.105,,21613458105.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,7.779.772.126,26.093.606.153,7779772126.0,26093606153.0
Công ty France Emulsion,Công ty France Emulsion,Công ty France Emulsion,1.606.087.366,1.606.087.366,1606087366.0,1606087366.0
Công ty Cố phần Đầu tư Hạ tầng Miền Bắc,Công ty Cố phần Đầu tư Hạ tầng Miền Bắc,Công ty Cố phần Đầu tư Hạ tầng Miền Bắc,-,18.650.350.455,,18650350455.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,6.173.684.760,5.837.168.332,6173684760.0,5837168332.0
Cộng,Cộng,Cộng,9.698.279.777,76.369.141.645,9698279777.0,76369141645.0
