row_label_raw,row_label_full,col_0,31.12.2023 > Giá trị VND,31.12.2023 > Số có khả năng trả nợ VND,01.01.2023 > Giá trị VND,01.01.2023 > Số có khả năng trả nợ VND,numeric__31.12.2023 > Giá trị VND,numeric__31.12.2023 > Số có khả năng trả nợ VND,numeric__01.01.2023 > Giá trị VND,numeric__01.01.2023 > Số có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,82.514.797.591,82.514.797.591,91.361.536.285,91.361.536.285,82514797591.0,82514797591.0,91361536285.0,91361536285.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,32.283.191.731,32.283.191.731,55.299.626.991,55.299.626.991,32283191731.0,32283191731.0,55299626991.0,55299626991.0
Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,17.246.558.025,17.246.558.025,7.032.383.015,7.032.383.015,17246558025.0,17246558025.0,7032383015.0,7032383015.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,13.543.989.995,13.543.989.995,9.660.979.849,9.660.979.849,13543989995.0,13543989995.0,9660979849.0,9660979849.0
Công ty Cổ phần An Ninh Đèo Cả,Công ty Cổ phần An Ninh Đèo Cả,Công ty Cổ phần An Ninh Đèo Cả,11.275.867.556,11.275.867.556,15.514.580.146,15.514.580.146,11275867556.0,11275867556.0,15514580146.0,15514580146.0
Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đèo Cả,8.165.190.284,8.165.190.284,3.853.966.284,3.853.966.284,8165190284.0,8165190284.0,3853966284.0,3853966284.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,96.970.055.361,96.970.055.361,101.276.627.900,101.276.627.900,96970055361.0,96970055361.0,101276627900.0,101276627900.0
Công Ty Cổ phần Tập Đoàn Trí Nam,Công Ty Cổ phần Tập Đoàn Trí Nam,Công Ty Cổ phần Tập Đoàn Trí Nam,14.251.710.240,14.251.710.240,17.814.637.800,17.814.637.800,14251710240.0,14251710240.0,17814637800.0,17814637800.0
Công ty Cổ phần Đầu tư Sài Gòn Asphalt,Công ty Cổ phần Đầu tư Sài Gòn Asphalt,Công ty Cổ phần Đầu tư Sài Gòn Asphalt,12.816.985.996,12.816.985.996,7.351.840.089,7.351.840.089,12816985996.0,12816985996.0,7351840089.0,7351840089.0
Công ty Cổ phần Xây dựng và Đầu tư Trung Hải,Công ty Cổ phần Xây dựng và Đầu tư Trung Hải,Công ty Cổ phần Xây dựng và Đầu tư Trung Hải,4.978.551.712,4.978.551.712,-,-,4978551712.0,4978551712.0,,
Công ty Cổ phần Thương mại - Dịch vụ Huy Thiên Phú,Công ty Cổ phần Thương mại - Dịch vụ Huy Thiên Phú,Công ty Cổ phần Thương mại - Dịch vụ Huy Thiên Phú,4.115.406.000,4.115.406.000,-,-,4115406000.0,4115406000.0,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,60.807.401.413,60.807.401.413,76.110.150.011,76.110.150.011,60807401413.0,60807401413.0,76110150011.0,76110150011.0
Cộng,Cộng,Cộng,179.484.852.952,179.484.852.952,192.638.164.185,192.638.164.185,179484852952.0,179484852952.0,192638164185.0,192638164185.0
