row_label_raw,row_label_full,col_0,Giá trị sổ sách > 31.12.2023 > Giá trị VND,Giá trị sổ sách > 31.12.2023 > Dự phòng VND,Giá trị sổ sách > 01.01.2023 > Giá trị VND,Giá trị sổ sách > 01.01.2023 > Dự phòng VND,Giá trị hợp lý > 31.12.2023 > VND,Giá trị hợp lý > 01.01.2023 > VND,numeric__Giá trị sổ sách > 31.12.2023 > Giá trị VND,numeric__Giá trị sổ sách > 31.12.2023 > Dự phòng VND,numeric__Giá trị sổ sách > 01.01.2023 > Giá trị VND,numeric__Giá trị sổ sách > 01.01.2023 > Dự phòng VND,numeric__Giá trị hợp lý > 31.12.2023 > VND,numeric__Giá trị hợp lý > 01.01.2023 > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,175.967.475.767,-,117.874.048.252,-,175.967.475.767,117.874.048.252,175967475767.0,,117874048252.0,,175967475767.0,117874048252.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,760.561.759.766,(11.035.892.482),469.257.409.580,(11.035.892.482),749.525.867.284,458.221.517.098,760561759766.0,-11035892482.0,469257409580.0,-11035892482.0,749525867284.0,458221517098.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,103.782.194.987,(1.301.620.413),33.422.245.873,(1.301.620.413),102.480.574.574,32.120.625.460,103782194987.0,-1301620413.0,33422245873.0,-1301620413.0,102480574574.0,32120625460.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,192.107.678.943,(873.033.836),342.106.740.615,(873.033.836),191.234.645.107,341.233.706.779,192107678943.0,-873033836.0,342106740615.0,-873033836.0,191234645107.0,341233706779.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.156.140.030.000,-,3.132.520.030.000,-,3.156.140.030.000,3.132.520.030.000,3156140030000.0,,3132520030000.0,,3156140030000.0,3132520030000.0
Cộng,Cộng,Cộng,4.388.559.139.463,(13.210.546.731),4.095.180.474.320,(13.210.546.731),4.375.348.592.732,4.081.969.927.589,4388559139463.0,-13210546731.0,4095180474320.0,-13210546731.0,4375348592732.0,4081969927589.0
