row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022VND,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022VND
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty con,"Bán hàng hóa, dịch vụ Góp vốnĐặt cọc góp vốn",13.373.697.054102.000.000.00012.300.000.000,60.787.403.437120.011.400.000102.000.000.000,,,1.3373697054102e+33,6.0787403437120015e+34
Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty con,"Bán hàng hóa, dịch vụĐặt cọc góp vốn",312.912.450.62157.000.000.000,252.192.045.38580.342.730.000,,,3.1291245062157e+22,2.521920453858034e+22
Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty con,"Bán hàng hóa, dịch vụNhận cổ tứcĐặt cọc góp vốn",26.329.487.0775.191.643.3519.724.000.000,29.777.157.24030.474.062.712-,,,2.6329487077519164e+30,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"Công ty có liên quan của Thành viên HĐQT Trần Chủng, Công ty con của Công ty mẹ","Bán hàng hóa, dịch vụMua hàng hóa, dịch vụ",4.444.44457.157.051.557,-22.067.076.702,,,4.444444571570516e+17,-22067076702.0
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"Công ty liên kết, công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng, Trường Ban kiểm soát Nguyễn Minh Giang, Thành viên Ban kiểm soát Phan Thị Mai","Bán hàng hóa, dịch vụ",4.564.508.030,20.276.043.989,,,4564508030.0,20276043989.0
