row_label_raw,row_label_full,Mãsô,TÀI SẢN,Thuyếtminh,Tại ngày,Tại ngày_1,numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__Tại ngày,numeric__Tại ngày_1
Mãsô,Mãsô,Mãsô,TÀI SẢN,Thuyếtminh,31.12.2023VND,01.01.2023VND,,,,
100,Mãsô > 100,100,TÀI SẢN NGĂN HẠN,,1.233.182.586.684,887.896.441.449,,,1233182586684.0,887896441449.0
110,Mãsô > 110,110,Tiền và các khoản tương đương tiền,V.1,175.967.475.767,117.874.048.252,,,175967475767.0,117874048252.0
111,Mãsô > 111,111,Tiền,,12.953.503.602,62.860.003.473,,,12953503602.0,62860003473.0
112,Mãsô > 112,112,Các khoản tương đương tiền,,163.013.972.165,55.014.044.779,,,163013972165.0,55014044779.0
130,Mãsô > 130,130,Các khoản phải thu ngắn hạn,,978.396.559.390,607.950.451.806,,,978396559390.0,607950451806.0
131,Mãsô > 131,131,Phải thu ngắn hạn của khách hàng,V.3a,757.467.332.235,466.162.982.049,,,757467332235.0,466162982049.0
132,Mãsô > 132,132,Trả trước cho người bán ngắn hạn,V.4,103.782.194.987,33.422.245.873,,,103782194987.0,33422245873.0
135,Mãsô > 135,135,Phải thu về cho vay ngắn hạn,V.5,-,1.000.000.000,,,,1000000000.0
136,Mãsô > 136,136,Phải thu ngắn hạn khác,V.6a,130.357.578.899,120.575.770.615,,,130357578899.0,120575770615.0
137,Mãsô > 137,137,Dự phòng phải thu ngắn hạn khó đòi,V.7,(13.210.546.731),(13.210.546.731),,,-13210546731.0,-13210546731.0
140,Mãsô > 140,140,Hàng tôn kho,,77.290.414.338,160.745.755.816,,,77290414338.0,160745755816.0
141,Mãsô > 141,141,Hàng tôn kho,V.8,77.290.414.338,160.745.755.816,,,77290414338.0,160745755816.0
150,Mãsô > 150,150,Tài sản ngắn hạn khác,,1.528.137.189,1.326.185.575,,,1528137189.0,1326185575.0
151,Mãsô > 151,151,Chi phí trả trước ngắn hạn,V.9a,1.528.137.189,1.326.185.575,,,1528137189.0,1326185575.0
