row_label_raw,row_label_full,STT,Bên cho vay,Hạn mức/Số tiên vay (VND),Thời hạn vay,Lãi suất,Hình thức đảm bảo,numeric__Bên cho vay,numeric__Hạn mức/Số tiên vay (VND),numeric__Thời hạn vay,numeric__Lãi suất,numeric__Hình thức đảm bảo
1,1,1,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,200.000.000.000,Theo từng lần nhận nợ nhưng không quá 9 tháng,Theo trên từng giấy nhận nợ,"- Phương tiện vận tải, cổ phiếu, bất động sản;- Quyền đời nợ từ các hợp đồng do Vietinbank cấp tín dụng.",,200000000000.0,,,
2,2,2,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,100.000.000.000,Theo từng lần nhận nợ nhưng không quá 6 tháng,Theo trên từng giấy nhận nợ,"- Phương tiện vận tải, cổ phiếu, bất động sản;- Quyền đời nợ từ các hợp đồng do Vietinbank cấp tín dụng.",,100000000000.0,,,
3,3,3,Ngân hàng TMCP Tiên Phong-CN Thăng Long Hà Nội,1.000.000.000.000,Theo từng lần nhận nợ nhưng không quá 12 tháng,Theo trên từng giấy nhận nợ,"- Hợp đồng tiên gửi, bất động sản, phương tiện vận tải;- Quyền đời nợ từ các hợp đồng do ngân hàng TMCP Tiên phong cấp tín dụng;- Bảo Lãnh của Công ty Cổ phần Tập đoàn Đẻo Cả.",,1000000000000.0,,,
4,4,4,Ngân hàng TMCP Việt Nam Thịnh Vượng,450.000.000.000,Theo từng lần nhận nợ nhưng không quá 10 tháng,Theo trên từng giấy nhận nợ,- Hợp đồng tiên gửi;- Quyền đời nợ từ các hợp đồng do ngân hàng TMCP Việt Nam Thịnh Vượng cấp tín dụng.,,450000000000.0,,,
5,5,5,Vay cán bộ công nhân viên Công ty,Không giới hạn,Từ ngày ký hợp đồng đến khi kết thúc hợp đồng,Lãi suất trả bằng lãi suất tiền gửi kỳ hạn 3 tháng tại ngân hàng Công ty đang giao dịch,Tín chấp,,,,,
