row_label_raw,row_label_full,col_0,Vận hành các trạm thu phí VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Hoạt động duy tu bào dưỡng, hầm VND",Hoạt động khác VND,Tổng cộng VND,numeric__Vận hành các trạm thu phí VND,numeric__Hoạt động xây lắp VND,numeric__Dịch vụ trung chuyển VND,"numeric__Hoạt động duy tu bào dưỡng, hầm VND",numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,22.951.163.676,1.108.529.335.122,20.915.838.636,298.396.668.923,14.722.250.718,1.465.515.257.075,22951163676.0,1108529335122.0,20915838636.0,298396668923.0,14722250718.0,1465515257075.0
Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,22.951.163.676,1.108.529.335.122,20.915.838.636,298.396.668.923,14.722.250.718,1.465.515.257.075,22951163676.0,1108529335122.0,20915838636.0,298396668923.0,14722250718.0,1465515257075.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,2.460.112.826,96.536.636.518,5.067.165.565,141.702.741.981,9.842.112.908,255.608.769.798(35.158.654.431),2460112826.0,96536636518.0,5067165565.0,141702741981.0,9842112908.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,220.450.115.367,,,,,,220450115367.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,21.674.604.153,,,,,,21674604153.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,(25.847.496.177),,,,,,-25847496177.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,2.085.863.457,,,,,,2085863457.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,(1.641.489.749),,,,,,-1641489749.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(42.804.367.042),,,,,,-42804367042.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,173.917.230.009,,,,,,173917230009.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,(28.330.807.775),,,,,,-28330807775.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(17.186.496.897),,,,,,-17186496897.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
