row_label_raw,row_label_full,col_0,Tại ngày31.12.2023VND,Phát sinh trong năm > Vay dài hạnđến hạn trả(*)VND,Phát sinh trong năm > TăngVND,Phát sinh trong năm > GiảmVND,Tại ngày01.01.2023VND,numeric__Tại ngày31.12.2023VND,numeric__Phát sinh trong năm > Vay dài hạnđến hạn trả(*)VND,numeric__Phát sinh trong năm > TăngVND,numeric__Phát sinh trong năm > GiảmVND,numeric__Tại ngày01.01.2023VND
Bên liên quan,Bên liên quan,Bên liên quan,-,,-,55.036.895.603,55.036.895.603,,,,55036895603.0,55036895603.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,-,,-,55.036.895.603,55.036.895.603,,,,55036895603.0,55036895603.0
Bên thử ba,Bên thử ba,Bên thử ba,250.303.155.482,12.866.650.568,464.756.252.489,400.477.556.794,173.157.809.219,250303155482.0,12866650568.0,464756252489.0,400477556794.0,173157809219.0
Ngân hàng TMCP Công Thương ViệtNam- CN Đà Nẵng,Ngân hàng TMCP Công Thương ViệtNam- CN Đà Nẵng,Ngân hàng TMCP Công Thương ViệtNam- CN Đà Nẵng,179.140.496.840,952.381.256,319.945.590.380,254.077.875.847,112.320.401.051,179140496840.0,952381256.0,319945590380.0,254077875847.0,112320401051.0
Ngân hàng TMCP Tiên Phong-CN Hà Nội,Ngân hàng TMCP Tiên Phong-CN Hà Nội,Ngân hàng TMCP Tiên Phong-CN Hà Nội,53.085.514.343,4.639.182.564,134.227.813.621,143.778.004.513,57.996.522.671,53085514343.0,4639182564.0,134227813621.0,143778004513.0,57996522671.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,8.035.283.996,-,10.582.848.488,2.547.564.492,-,8035283996.0,,10582848488.0,2547564492.0,
Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triểnViệt Nam - CN Nam Hà Nội,3.780.000.000,3.780.000.000,-,-,-,3780000000.0,3780000000.0,,,
Công ty Cho thuê Tài chính TNHH MTVQuốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTVQuốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTVQuốc tế Chailease,1.772.608.776,1.772.608.776,-,-,-,1772608776.0,1772608776.0,,,
Công ty Cho thuê tài chính TNHH BIDV -Sumi Trust CN Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV -Sumi Trust CN Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV -Sumi Trust CN Đà Nẵng,1.722.477.972,1.722.477.972,-,-,-,1722477972.0,1722477972.0,,,
"Cán bộ, công nhân viên","Cán bộ, công nhân viên","Cán bộ, công nhân viên",2.766.773.555,,-,74.111.942,2.840.885.497,2766773555.0,,,74111942.0,2840885497.0
Cộng,Cộng,Cộng,250.303.155.482,12.866.650.568,464.756.252.489,455.514.452.397,228.194.704.822,250303155482.0,12866650568.0,464756252489.0,455514452397.0,228194704822.0
