row_label_raw,row_label_full,Mãsô,TÀI SAN (tiêp theo),Thuyếtminh,Tại ngày,Tại ngày_1,numeric__TÀI SAN (tiêp theo),numeric__Thuyếtminh,numeric__Tại ngày,numeric__Tại ngày_1
Mãsô,Mãsô,Mãsô,TÀI SAN (tiêp theo),Thuyếtminh,31.12.2023VND,01.01.2023VND,,,,
200,Mãsô > 200,200,TÀI SAN DÀI HẠN,,3.382.413.874.860,3.473.810.154.569,,,3382413874860.0,3473810154569.0
210,Mãsô > 210,210,Các khoản phải thu dài hạn,,64.844.527.575,224.625.397.531,,,64844527575.0,224625397531.0
211,Mãsô > 211,211,Phải thu dài hạn của khách hàng,V.3b,3.094.427.531,3.094.427.531,,,3094427531.0,3094427531.0
216,Mãsô > 216,216,Phải thu dài hạn khác,V.6b,61.750.100.044,221.530.970.000,,,61750100044.0,221530970000.0
220,Mãsô > 220,220,Tài sản cố định,,157.692.732.181,99.761.449.382,,,157692732181.0,99761449382.0
221,Mãsô > 221,221,Tài sản cố định hữu hình,V.10,140.934.110.424,99.166.395.728,,,140934110424.0,99166395728.0
222,Mãsô > 222,222,Nguyên giá,,229.709.713.749,174.146.767.655,,,229709713749.0,174146767655.0
223,Mãsô > 223,223,Giá trị khấu hao lũy kế,,(88.775.603.325),(74.980.371.927),,,-88775603325.0,-74980371927.0
224,Mãsô > 224,224,Tài sản cố định thuê tài chính,V.11,16.187.449.195,-,,,16187449195.0,
225,Mãsô > 225,225,Nguyên giá,,17.714.776.374,-,,,17714776374.0,
226,Mãsô > 226,226,Giá trị khấu hao lũy kế,,(1.527.327.179),-,,,-1527327179.0,
227,Mãsô > 227,227,Tài sản cố định vô hình,V.12,571.172.562,595.053.654,,,571172562.0,595053654.0
228,Mãsô > 228,228,Nguyên giá,,718.292.634,718.292.634,,,718292634.0,718292634.0
229,Mãsô > 229,229,Giá trị khấu hao lũy kế,,(147.120.072),(123.238.980),,,-147120072.0,-123238980.0
240,Mãsô > 240,240,Tài sản dở dang dài hạn,,170.630.457,13.636.905.417,,,170630457.0,13636905417.0
242,Mãsô > 242,242,Chi phí xây dựng cơ bản dở dang,V.13,170.630.457,13.636.905.417,,,170630457.0,13636905417.0
250,Mãsô > 250,250,Đầu tư tài chính dài hạn,,3.156.140.030.000,3.132.520.030.000,,,3156140030000.0,3132520030000.0
251,Mãsô > 251,251,Đầu tư vào công ty con,V.2b,2.963.020.030.000,2.861.020.030.000,,,2963020030000.0,2861020030000.0
252,Mãsô > 252,252,"Đầu tư vào công ty liên doanh, liên kết",V.2b,177.620.000.000,269.500.000.000,,,177620000000.0,269500000000.0
253,Mãsô > 253,253,Đầu tư góp vốn vào đơn vị khác,V.2c,13.500.000.000,-,,,13500000000.0,
255,Mãsô > 255,255,Đầu tư nắm giữ đến ngày đáo hạn,V.2a,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
260,Mãsô > 260,260,Tài sản dài hạn khác,,3.565.954.647,3.266.372.239,,,3565954647.0,3266372239.0
261,Mãsô > 261,261,Chi phí trả trước dài hạn,V.9b,3.565.954.647,3.266.372.239,,,3565954647.0,3266372239.0
270,Mãsô > 270,270,TỔNG TÀI SAN,,4.615.596.461.544,4.361.706.596.018,,,4615596461544.0,4361706596018.0
