row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2023VND,2022VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1.465.515.257.075,953.233.198.971,1465515257075.0,953233198971.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.108.529.335.122,536.498.691.178,1108529335122.0,536498691178.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",298.396.668.923,319.149.947.284,298396668923.0,319149947284.0
Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,22.951.163.676,73.032.256.557,22951163676.0,73032256557.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,20.915.838.636,17.921.779.967,20915838636.0,17921779967.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,14.722.250.718,6.630.523.985,14722250718.0,6630523985.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuân,Các khoản giảm trừ doanh thu > Doanh thu thuân,Doanh thu thuân,1.465.515.257.075,953.233.198.971,1465515257075.0,953233198971.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,1.200.814.214.593,567.262.814.714,1200814214593.0,567262814714.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",280.939.401.196,307.775.869.506,280939401196.0,307775869506.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,890.912.859.517,185.819.624.118,890912859517.0,185819624118.0
Doanh thu vận hành các trạm thu phí,Các khoản giảm trừ doanh thu > Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,22.951.163.676,72.003.764.325,22951163676.0,72003764325.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,6.010.790.204,1.663.556.765,6010790204.0,1663556765.0
