row_label_raw,row_label_full,Mãsô,col_1,Thuyêtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyêtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsô,Mãsô,Mãsô,,Thuyêtminh,2023VND,2022VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,,,,,,,
31,Mãsô > 31,31,"Thu từ phát hành cổ phiếu, nhậnvốn góp của chủ sở hữu",,-,403.873.700.000,,,,403873700000.0
33,Mãsô > 33,33,"Thu từ vay ngắn hạn, dài hạn",,522.706.149.824,477.926.519.071,,,522706149824.0,477926519071.0
34,Mãsô > 34,34,Chi trả nợ gốc vay,,(581.954.421.884),(573.980.304.573),,,-581954421884.0,-573980304573.0
35,Mãsô > 35,35,Chi trả nợ gốc thuê tài chính,,(4.970.543.556),-,,,-4970543556.0,
40,Mãsô > 40,40,Lưu chuyên thuân từ hoạt độngtài chính,,(64.218.815.616),307.819.914.498,,,-64218815616.0,307819914498.0
50,Mãsô > 50,50,Lưu chuyên tiên thuân trong năm,,58.093.427.515,106.273.064.994,,,58093427515.0,106273064994.0
60,Mãsô > 60,60,Tiền và các khoản tương đươngtiền đầu năm,V.1,117.874.048.252,11.600.983.258,,,117874048252.0,11600983258.0
61,61,61,Ảnh hưởng của thay đối tỷ giá hốidoái quy đổi ngoại tệ,,-,-,,,,
70,61 > 70,70,Tiền và các khoản tương đươngtiền cuối năm,V.1,175.967.475.767,117.874.048.252,,,175967475767.0,117874048252.0
