row_label_raw,row_label_full,col_0,Năm 2022,Năm 2022_1,Năm 2022_2,Năm 2022_3,Năm 2022_4,Năm 2022_5,numeric__Năm 2022,numeric__Năm 2022_1,numeric__Năm 2022_2,numeric__Năm 2022_3,numeric__Năm 2022_4,numeric__Năm 2022_5
,,,Vận hành các trạm thu phí VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Hoạt động duy tu bảo dưỡng, hầm VND",Hoạt động khác VND,Tổng cộng VND,,,,,,
Doanh thu thuân về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuân về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuân về bán hàng và cung cấp dịch vụ ra bên ngoài,73.032.256.557,536.498.691.178,17.921.779.967,319.149.947.284,6.630.523.985,953.233.198.971,73032256557.0,536498691178.0,17921779967.0,319149947284.0,6630523985.0,953233198971.0
Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,Tổng doanh thu thuân bán hàng và cung cấp dịch vụ,73.032.256.557,536.498.691.178,17.921.779.967,319.149.947.284,6.630.523.985,953.233.198.971,73032256557.0,536498691178.0,17921779967.0,319149947284.0,6630523985.0,953233198971.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,19.016.748.025,50.829.469.595,3.075.080.724,157.164.681.668,5.224.359.272,235.310.339.284(29.524.336.353),19016748025.0,50829469595.0,3075080724.0,157164681668.0,5224359272.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,205.786.002.931,,,,,,205786002931.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,32.179.666.503(37.430.439.357),,,,,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,11.991.777(25.317.426),,,,,,
Chi phí tài chính,Doanh thu hoạt động tài chính > Chi phí tài chính,Chi phí tài chính,,,,,,(33.124.634.560),,,,,,-33124634560.0
Thu nhập khác,Doanh thu hoạt động tài chính > Thu nhập khác,Thu nhập khác,,,,,,167.397.269.868,,,,,,167397269868.0
Chi phí khác,Doanh thu hoạt động tài chính > Chi phí khác,Chi phí khác,,,,,,(76.001.138.529),,,,,,-76001138529.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu hoạt động tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(9.905.588.890),,,,,,-9905588890.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,,,,,
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
