row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,6.412.811.860.000,760.819.802.040,2.866.605.331.073,10.040.236.993.113,6412811860000.0,760819802040.0,2866605331073.0,10040236993113.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.562.282.809.212,4.562.282.809.212,,,4562282809212.0,4562282809212.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(127.965.804.585),(127.965.804.585),,,-127965804585.0,-127965804585.0
"Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(65.075.296.000),(65.075.296.000),,,-65075296000.0,-65075296000.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(44.536.000.000),(44.536.000.000),,,-44536000000.0,-44536000000.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,(10.892.000.000),(10.892.000.000),,,-10892000000.0,-10892000000.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,6.412.811.860.000,760.819.802.040,4.935.934.888.700,12.109.566.550.740,6412811860000.0,760819802040.0,4935934888700.0,12109566550740.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.414.401.720.779,3.414.401.720.779,,,3414401720779.0,3414401720779.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(114.397.723.138),(114.397.723.138),,,-114397723138.0,-114397723138.0
"Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích bổ sung quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(25.689.699.033),(25.689.699.033),,,-25689699033.0,-25689699033.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(31.798.656.758),(31.798.656.758),,,-31798656758.0,-31798656758.0
Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,Trích bổ sung quỹ công tác xã hội,-,-,(1.086.828.092),(1.086.828.092),,,-1086828092.0,-1086828092.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.412.811.860.000,760.819.802.040,5.932.879.551.458,13.106.511.213.498,6412811860000.0,760819802040.0,5932879551458.0,13106511213498.0
