row_label_raw,row_label_full,col_0,Tài sản chở góp vốn đầu tư (*) VND,Bao bì luân chuyển VND,Chi phí bảo hiểm VND,Công cụ và dụng cụ và các khoản khác VND,Tổng VND,numeric__Tài sản chở góp vốn đầu tư (*) VND,numeric__Bao bì luân chuyển VND,numeric__Chi phí bảo hiểm VND,numeric__Công cụ và dụng cụ và các khoản khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,20.403.979.812,10.767.331.227,2.677.117.270,85.450.744.309,51602316000.0,20403979812.0,10767331227.0,2677117270.0,85450744309.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,"28,126,720,489",-,8.383.607.878,"36,510,328,367",,,,8383607878.0,
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(25.361.363.785),(10.767.331.227),(3.562.531.298),(39.691.226.310),,-25361363785.0,-10767331227.0,-3562531298.0,-39691226310.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,23.169.336.516,-,7.498.193.850,82.269.846.366,51602316000.0,23169336516.0,,7498193850.0,82269846366.0
