row_label_raw,row_label_full,Công ty mẹVietnam Beverage Company Limited,31/12/2018VND > - 1.202.749.054.500,1/1/2018VND > - 1.202.749.054.500,numeric__31/12/2018VND > - 1.202.749.054.500,numeric__1/1/2018VND > - 1.202.749.054.500
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một Thành Viên Thương mạiBia Sài Gòn,Công ty con > Công ty TNHH Một Thành Viên Thương mạiBia Sài Gòn,Công ty TNHH Một Thành Viên Thương mạiBia Sài Gòn,35.739.984.670,84.476.384.311,35739984670.0,84476384311.0
Công ty TNHH Một Thành Viên Cơ khí Sa be co,Công ty con > Công ty TNHH Một Thành Viên Cơ khí Sa be co,Công ty TNHH Một Thành Viên Cơ khí Sa be co,7.397.933.618,6.240.050.147,7397933618.0,6240050147.0
Công ty TNHH Một Thành Viên Bia Sài Gòn – Hà Tĩnh,Công ty con > Công ty TNHH Một Thành Viên Bia Sài Gòn – Hà Tĩnh,Công ty TNHH Một Thành Viên Bia Sài Gòn – Hà Tĩnh,6.422.123.067,5.224.902.289,6422123067.0,5224902289.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,1.522.160.540,1.522.160.540,1522160540.0,1522160540.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,739.328.874,739.328.874,739328874.0,739328874.0
Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,437.717.745,437.717.745,437717745.0,437717745.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,106.561.973,106.561.973,106561973.0,106561973.0
Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,82.229.450,82.229.450,82229450.0,82229450.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,52.063.478,52.063.478,52063478.0,52063478.0
Công ty TNHH Một Thành Viên Bia Sài GònSóc Trăng,Công ty con > Công ty TNHH Một Thành Viên Bia Sài GònSóc Trăng,Công ty TNHH Một Thành Viên Bia Sài GònSóc Trăng,12.932.851,12.932.851,12932851.0,12932851.0
"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Công ty liên kết, cơ sở kinh doanh đồng kiểm soát",,
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây",Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,287.780.949,287.780.949,287780949.0,287780949.0
Công ty TNHH Trung Tâm Mê Linh,"Công ty liên kết, cơ sở kinh doanh đồng kiểm soát > Công ty TNHH Trung Tâm Mê Linh",Công ty TNHH Trung Tâm Mê Linh,-,39.282.868,,39282868.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Bên liên quan khác > Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,195.251.930,195.251.930,195251930.0,195251930.0
