row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,60.211.555.443,41.616.668.462,60211555443.0,41616668462.0
Công ty Cổ phần Bia Sài Gòn – Sông Lam,Công ty con > Công ty Cổ phần Bia Sài Gòn – Sông Lam,Công ty Cổ phần Bia Sài Gòn – Sông Lam,58.559.536.728,28.545.202.840,58559536728.0,28545202840.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,39.776.536.181,38.102.542.531,39776536181.0,38102542531.0
Công ty TNHH Một Thành viên Bia Sài Gòn – Hà Tĩnh,Công ty con > Công ty TNHH Một Thành viên Bia Sài Gòn – Hà Tĩnh,Công ty TNHH Một Thành viên Bia Sài Gòn – Hà Tĩnh,39.585.975.000,6.609.147.600,39585975000.0,6609147600.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,37.813.972.006,27.419.874.358,37813972006.0,27419874358.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,29.637.985.845,38.335.313.745,29637985845.0,38335313745.0
Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,28.563.399.700,72.045.924.191,28563399700.0,72045924191.0
Công ty Cổ phần Bia Sài Gòn – Hà Nội,Công ty con > Công ty Cổ phần Bia Sài Gòn – Hà Nội,Công ty Cổ phần Bia Sài Gòn – Hà Nội,27.041.488.482,28.500.230.440,27041488482.0,28500230440.0
Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,Công ty con > Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn – Quảng Ngãi,26.252.241.400,48.481.610.210,26252241400.0,48481610210.0
Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,25.633.011.879,25.776.883.541,25633011879.0,25776883541.0
Công ty TNHH Một Thành viên Sài Gòn Sóc Trăng,Công ty con > Công ty TNHH Một Thành viên Sài Gòn Sóc Trăng,Công ty TNHH Một Thành viên Sài Gòn Sóc Trăng,22.450.953.360,4.573.218.320,22450953360.0,4573218320.0
Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,21.767.189.034,29.677.705.911,21767189034.0,29677705911.0
Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty con > Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,18.835.210.240,18.798.124.576,18835210240.0,18798124576.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,18.735.326.224,14.420.626.338,18735326224.0,14420626338.0
Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Công ty con > Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,18.372.124.012,14.496.449.272,18372124012.0,14496449272.0
Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,13.675.794.719,18.125.960.031,13675794719.0,18125960031.0
Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,13.522.311.831,35.946.277.635,13522311831.0,35946277635.0
Công ty Cổ phần Bia Sài Gòn – Miền Tây,Công ty con > Công ty Cổ phần Bia Sài Gòn – Miền Tây,Công ty Cổ phần Bia Sài Gòn – Miền Tây,12.743.161.114,6.237.778.800,12743161114.0,6237778800.0
Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty con > Công ty Cổ phần Nước Giải Khát Chương Dương,Công ty Cổ phần Nước Giải Khát Chương Dương,10.748.221.283,-,10748221283.0,
"Công ty Cổ phần Bia, Rượu Sài Gòn – Đồng Xuân","Công ty con > Công ty Cổ phần Bia, Rượu Sài Gòn – Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn – Đồng Xuân",9.405.748.680,43.494.775.080,9405748680.0,43494775080.0
Công ty Cổ phần Bia Sài Gòn – Nghệ Tĩnh,Công ty con > Công ty Cổ phần Bia Sài Gòn – Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn – Nghệ Tĩnh,3.377.627.770,6.992.501.010,3377627770.0,6992501010.0
Công ty TNHH Một Thành viên Cơ khí Sa Be Co,Công ty con > Công ty TNHH Một Thành viên Cơ khí Sa Be Co,Công ty TNHH Một Thành viên Cơ khí Sa Be Co,1.309.900.134,2.364.866.360,1309900134.0,2364866360.0
