row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị quản lý VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị quản lý VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,578.589.580.874,2.708.426.100.758,55.848.495.633,84.385.607.100,3.427.249.784.365,578589580874.0,2708426100758.0,55848495633.0,84385607100.0,3427249784365.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,248.209.007,6.451.871.818,1.135.500.000,13.817.944.940,21.653.525.765,248209007.0,6451871818.0,1135500000.0,13817944940.0,21653525765.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,6.744.562.082,-,395.400.000,7.139.962.082,,6744562082.0,,395400000.0,7139962082.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(1.776.057.814),(1.776.057.814),,,,-1776057814.0,-1776057814.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,578.837.789.881,2.721.622.534.658,56.983.995.633,96.822.894.226,3.454.267.214.398,578837789881.0,2721622534658.0,56983995633.0,96822894226.0,3454267214398.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,347.860.487.490,2.021.758.447.255,40.481.540.866,62.523.087.611,2.472.623.563.222,347860487490.0,2021758447255.0,40481540866.0,62523087611.0,2472623563222.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,34.483.254.219,186.668.355.546,3.817.892.787,9.186.013.599,234.155.516.151,34483254219.0,186668355546.0,3817892787.0,9186013599.0,234155516151.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(1.776.057.814),(1.776.057.814),,,,-1776057814.0,-1776057814.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,382.343.741.709,2.208.426.802.801,44.299.433.653,69.933.043.396,2.705.003.021.559,382343741709.0,2208426802801.0,44299433653.0,69933043396.0,2705003021559.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,230.729.093.384,686.667.653.503,15.366.954.767,21.862.519.489,954.626.221.143,230729093384.0,686667653503.0,15366954767.0,21862519489.0,954626221143.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,196.494.048.172,513.195.731.857,12.684.561.980,26.889.850.830,749.264.192.839,196494048172.0,513195731857.0,12684561980.0,26889850830.0,749264192839.0
