row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,929.359.796.577,60.081.007.247,989.440.803.824,929359796577.0,60081007247.0,989440803824.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.602.000.000,2.602.000.000,,2602000000.0,2602000000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,432.800.000,432.800.000,,432800000.0,432800000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,929.359.796.577,63.115.807.247,992.475.603.824,929359796577.0,63115807247.0,992475603824.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.126.699.728,51.636.718.487,103.763.418.215,52126699728.0,51636718487.0,103763418215.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.623.371.664,6.873.182.604,11.496.554.268,4623371664.0,6873182604.0,11496554268.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,56.750.071.392,58.509.901.091,115.259.972.483,56750071392.0,58509901091.0,115259972483.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,877.233.096.849,8.444.288.760,885.677.385.609,877233096849.0,8444288760.0,885677385609.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,872.609.725.185,4.605.906.156,877.215.631.341,872609725185.0,4605906156.0,877215631341.0
