row_label_raw,row_label_full,Bên liên quan,31/12/2025 triệu đồng,31/12/2024 triệu đồng,numeric__31/12/2025 triệu đồng,numeric__31/12/2024 triệu đồng
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
VIB AMC,VIB AMC,VIB AMC,,,,
Tiền gửi không kỳ hạn tại Ngân hàng,VIB AMC > Tiền gửi không kỳ hạn tại Ngân hàng,Tiền gửi không kỳ hạn tại Ngân hàng,163.668,84.870,163668.0,84870.0
Tiền gửi có kỳ hạn tại Ngân hàng,VIB AMC > Tiền gửi có kỳ hạn tại Ngân hàng,Tiền gửi có kỳ hạn tại Ngân hàng,2.117.400,179.550,2117400.0,179550.0
Giấy tờ có giá Ngân hàng phát hành,VIB AMC > Giấy tờ có giá Ngân hàng phát hành,Giấy tờ có giá Ngân hàng phát hành,-,40.000,,40000.0
Phải trả lãi ủy thác cho VIB AMC,VIB AMC > Phải trả lãi ủy thác cho VIB AMC,Phải trả lãi ủy thác cho VIB AMC,398,398,398.0,398.0
Lãi phải trả cho tiền gửi tại Ngân hàng,VIB AMC > Lãi phải trả cho tiền gửi tại Ngân hàng,Lãi phải trả cho tiền gửi tại Ngân hàng,18.468,1.517,18468.0,1517.0
"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường","Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường",,
Cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Cho vay",Cho vay,10.417,1.080,10417.0,1080.0
Tiền gửi không kỳ hạn tại Ngân hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Tiền gửi không kỳ hạn tại Ngân hàng",Tiền gửi không kỳ hạn tại Ngân hàng,12.992,10.047,12992.0,10047.0
Tiền gửi có kỳ hạn tại Ngân hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Tiền gửi có kỳ hạn tại Ngân hàng",Tiền gửi có kỳ hạn tại Ngân hàng,15.655,5.938,15655.0,5938.0
Giấy tờ có giá Ngân hàng phát hành,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Giấy tờ có giá Ngân hàng phát hành",Giấy tờ có giá Ngân hàng phát hành,2.727,-,2727.0,
Lãi phải thu cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát,Ban Tổng Giám đốc và Kế toán trường > Lãi phải thu cho vay",Lãi phải thu cho vay,98,-,98.0,
