row_label_raw,row_label_full,Quá hạn triệu đồng,Không chịu lãi suất triệu đồng,Dưới 1 tháng triệu đồng,Từ 1-3 tháng triệu đồng,Từ 3-6 tháng triệu đồng,Từ 6-12 tháng triệu đồng,Từ 1-5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Không chịu lãi suất triệu đồng,numeric__Dưới 1 tháng triệu đồng,numeric__Từ 1-3 tháng triệu đồng,numeric__Từ 3-6 tháng triệu đồng,numeric__Từ 6-12 tháng triệu đồng,numeric__Từ 1-5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
-,-,-,1.639.349,-,-,-,-,-,-,1.639.349,1639349.0,,,,,,,1639349.0
-,-,-,9.909.074,-,-,-,-,-,-,9.909.074,9909074.0,,,,,,,9909074.0
-,-,-,-,86.466.379,15.412.422,3.030.098,679.617,-,-,105.588.516,,86466379.0,15412422.0,3030098.0,679617.0,,,105588516.0
-,-,-,821.872,-,-,-,-,-,-,821.872,821872.0,,,,,,,821872.0
7.014.577,7.014.577,7.014.577,-,37.861.052,88.092.922,78.337.029,69.648.779,42.892.951,171.249,324.018.559,,37861052.0,88092922.0,78337029.0,69648779.0,42892951.0,171249.0,324018559.0
42.380,42.380,42.380,-,499.994,50.128,5.500.418,34.061.915,553.712,9.679.645,50.388.192,,499994.0,50128.0,5500418.0,34061915.0,553712.0,9679645.0,50388192.0
-,-,-,919.667,-,-,-,-,-,-,919.667,919667.0,,,,,,,919667.0
-,-,-,793.660,-,-,-,-,-,-,793.660,793660.0,,,,,,,793660.0
-,-,-,4.934.939,-,-,-,-,-,-,4.934.939,4934939.0,,,,,,,4934939.0
7.056.957,7.056.957,7.056.957,19.018.561,124.827.425,103.555.472,86.867.545,104.390.311,43.446.663,9.850.894,499.013.828,19018561.0,124827425.0,103555472.0,86867545.0,104390311.0,43446663.0,9850894.0,499013828.0
-,-,-,-,107.476.059,29.676.232,4.635.172,-,13,-,141.787.476,,107476059.0,29676232.0,4635172.0,,13.0,,141787476.0
-,-,-,96.237,95.803.307,55.824.997,79.721.126,20.921.095,24.205.571,-,276.572.333,96237.0,95803307.0,55824997.0,79721126.0,20921095.0,24205571.0,,276572333.0
-,-,-,-,3.957,1.411,-,-,-,-,5.368,,3957.0,1411.0,,,,,5368.0
-,-,-,-,402.761,651.818,600.000,2.000.000,17.648.000,2.000.000,23.302.579,,402761.0,651818.0,600000.0,2000000.0,17648000.0,2000000.0,23302579.0
-,-,-,9.887.862,-,-,-,-,-,-,9.887.862,9887862.0,,,,,,,9887862.0
-,-,-,9.984.099,203.686.084,86.154.458,84.956.298,22.921.095,41.853.584,2.000.000,451.555.618,9984099.0,203686084.0,86154458.0,84956298.0,22921095.0,41853584.0,2000000.0,451555618.0
7.056.957,7.056.957,7.056.957,9.034.462,(78.858.659),17.401.014,1.911.247,81.469.216,1.593.079,7.850.894,47.458.210,9034462.0,-78858659.0,17401014.0,1911247.0,81469216.0,1593079.0,7850894.0,47458210.0
-,-,-,-,(1.406.920),1.337.135,324.741,571.006,8.331,-,834.293,,-1406920.0,1337135.0,324741.0,571006.0,8331.0,,834293.0
7.056.957,7.056.957,7.056.957,9.034.462,(80.265.579),18.738.149,2.235.988,82.040.222,1.601.410,7.850.894,48.292.503,9034462.0,-80265579.0,18738149.0,2235988.0,82040222.0,1601410.0,7850894.0,48292503.0
