row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,31/12/2024,31/12/2024_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__31/12/2024,numeric__31/12/2024_1
,,,triệu đồng,%,triệu đồng,%,,,,
Tiền gửi của các tổ chức kinh tế,Tiền gửi của các tổ chức kinh tế,Tiền gửi của các tổ chức kinh tế,105.850.648,"35,67",81.817.745,"29,58",105850648.0,35.67,81817745.0,29.58
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,14.679.689,"4,95",13.929.483,"5,04",14679689.0,4.95,13929483.0,5.04
Công ty TNHH MTV do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do nhà nước sở hữu 100% vốn điều lệ,2.484.176,"0,84",2.779.776,"1,00",2484176.0,0.84,2779776.0,1.0
Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,508,"0,00",496,"0,00",508.0,0.0,496.0,0.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,18.965.284,"6,39",10.121.170,"3,66",18965284.0,6.39,10121170.0,3.66
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,6.504.281,"2,19",5.412.948,"1,96",6504281.0,2.19,5412948.0,1.96
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,47.903.888,"16,14",37.658.437,"13,61",47903888.0,16.14,37658437.0,13.61
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,849,"0,00",24.116,"0,01",849.0,0.0,24116.0,0.01
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,76.776,"0,03",84.341,"0,03",76776.0,0.03,84341.0,0.03
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,13.198.445,"4,45",11.172.769,"4,04",13198445.0,4.45,11172769.0,4.04
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,43.602,"0,01",12.254,"0,00",43602.0,0.01,12254.0,0.0
Hộ kinh doanh,Hộ kinh doanh,Hộ kinh doanh,36.762,"0,01",15.816,"0,01",36762.0,0.01,15816.0,0.01
"Đơn vị hành chính sự nghiệp, đắng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đắng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đắng, đoàn thể và hiệp hội",1.956.388,"0,66",606.139,"0,22",1956388.0,0.66,606139.0,0.22
Tiền gửi của cá nhân,Tiền gửi của cá nhân,Tiền gửi của cá nhân,191.007.659,"64,33",194.754.588,"70,42",191007659.0,64.33,194754588.0,70.42
,,,296.858.307,"100,00",276.572.333,"100,00",296858307.0,100.0,276572333.0,100.0
