row_label_raw,row_label_full,col_0,Mức tănglãi suất31/12/2024,Mức độ ảnh hưởngtăng/(giảm) đến lợi nhuậntrước thuế cho năm tài chínhkết thúc ngày 31 tháng 12năm 2024triệu đồng,numeric__Mức tănglãi suất31/12/2024,numeric__Mức độ ảnh hưởngtăng/(giảm) đến lợi nhuậntrước thuế cho năm tài chínhkết thúc ngày 31 tháng 12năm 2024triệu đồng
Loại tiền,Loại tiền,Loại tiền,Loại tiền,Loại tiền,,
VND,Loại tiền > VND,VND,"1,00%",(59.836),0.01,-59836.0
USD,Loại tiền > USD,USD,"0,25%",15.303,0.0025,15303.0
