row_label_raw,row_label_full,col_0,Mức tănglãi suất31/12/2025,Mức độ ảnh hưởngtăng/(giảm) đến lợi nhuậntrước thuế cho năm tài chínhkết thúc ngày 31 tháng 12năm 2025triệu đồng,numeric__Mức tănglãi suất31/12/2025,numeric__Mức độ ảnh hưởngtăng/(giảm) đến lợi nhuậntrước thuế cho năm tài chínhkết thúc ngày 31 tháng 12năm 2025triệu đồng
Loại tiền,Loại tiền,Loại tiền,Loại tiền,Loại tiền,,
VND,Loại tiền > VND,VND,"1,00%",(138.897),0.01,-138897.0
USD,Loại tiền > USD,USD,"0,25%",(728),0.0025,-728.0
