row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phươngtiện vận tải,Thiết bịvăn phòng,Tài sản cố địnhhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phươngtiện vận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1/1/2025,Nguyên giá > Tại ngày 1/1/2025,Tại ngày 1/1/2025,108.752,785.491,97.730,148.476,108.688,1.249.137,108752.0,785491.0,97730.0,148476.0,108688.0,1249137.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,3.487,133.467,12.251,12.137,2.679,164.021,3487.0,133467.0,12251.0,12137.0,2679.0,164021.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(8.265),(125.290),(7.657),(11.002),(3.520),(155.734),-8265.0,-125290.0,-7657.0,-11002.0,-3520.0,-155734.0
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,103.974,793.668,102.324,149.611,107.847,1.257.424,103974.0,793668.0,102324.0,149611.0,107847.0,1257424.0
Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,Khấu hao luỹ kế,,,,,,
Tại ngày 1/1/2025,Khấu hao luỹ kế > Tại ngày 1/1/2025,Tại ngày 1/1/2025,65.930,444.284,45.139,104.542,97.645,757.540,65930.0,444284.0,45139.0,104542.0,97645.0,757540.0
Khấu hao trong năm,Khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,6.162,54.014,10.307,22.175,5.248,97.906,6162.0,54014.0,10307.0,22175.0,5248.0,97906.0
Thanh lý trong năm,Khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,(8.140),(116.267),(7.657),(10.423),(3.336),(145.823),-8140.0,-116267.0,-7657.0,-10423.0,-3336.0,-145823.0
Tại ngày 31/12/2025,Khấu hao luỹ kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,63.952,382.031,47.789,116.294,99.557,709.623,63952.0,382031.0,47789.0,116294.0,99557.0,709623.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1/1/2025,Giá trị còn lại > Tại ngày 1/1/2025,Tại ngày 1/1/2025,42.822,341.207,52.591,43.934,11.043,491.597,42822.0,341207.0,52591.0,43934.0,11043.0,491597.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,40.022,411.637,54.535,33.317,8.290,547.801,40022.0,411637.0,54535.0,33317.0,8290.0,547801.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,,,
,,,,,,,31/12/2025triệu đồng,31/12/2024triệu đồng,,,,,,
Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vẫn còn sử dụng,321.370,407.549,,,,,321370.0,407549.0
