row_label_raw,row_label_full,col_0,Đã phát hành và đang lưu hành,Đã phát hành và đang lưu hành_1,Đã phát hành và đang lưu hành_2,numeric__Đã phát hành và đang lưu hành,numeric__Đã phát hành và đang lưu hành_1,numeric__Đã phát hành và đang lưu hành_2
,,,Số cổ phiếu,VND,%,,,
Nhà nước,Nhà nước,Nhà nước,267.438.100,2.674.381.000.000,"53,49%",267438100.0,2674381000000.0,0.5349
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,232.561.900,2.325.619.000.000,"46,51%",232561900.0,2325619000000.0,0.46509999999999996
,,,500.000.000,5.000.000.000.000,100%,500000000.0,5000000000000.0,1.0
