row_label_raw,row_label_full,col_0,col_1,Tổng doanh thu2015VND,Chi tiết doanh thu,Chi tiết doanh thu_1,Chi tiết doanh thu_2,Lợi nhuận/(lỗ)sau thuế TNDN2015VND,numeric__col_1,numeric__Tổng doanh thu2015VND,numeric__Chi tiết doanh thu,numeric__Chi tiết doanh thu_1,numeric__Chi tiết doanh thu_2,numeric__Lợi nhuận/(lỗ)sau thuế TNDN2015VND
,,,,Tổng doanh thu2015VND,Doanh thu bán hàng và cung cấp dịch vụ2015VND,Doanh thu hoạt động tài chính2015VND,Thu nhập khác2015VND,Lợi nhuận/(lỗ)sau thuế TNDN2015VND,,,,,,
STT,STT,STT,Đơn vị,Tổng doanh thu2015VND,Doanh thu bán hàng và cung cấp dịch vụ2015VND,Doanh thu hoạt động tài chính2015VND,Thu nhập khác2015VND,Lợi nhuận/(lỗ)sau thuế TNDN2015VND,,,,,,
1,1,1,Văn phòng Công ty mẹ,,,,,,,,,,,
1,1 > 1,1,Văn phòng Hà Nội,509.160.682.222,113.761.266.212,389.580.327.983,5.819.088.027,292.512.828.947,,509160682222.0,113761266212.0,389580327983.0,5819088027.0,292512828947.0
1,1 > 1,1,Văn phòng Hồ Chí Minh,59.754.220.337,40.230.318.697,19.522.245.016,1.656.624,(14.346.510.557),,59754220337.0,40230318697.0,19522245016.0,1656624.0,-14346510557.0
2,2,2,Các đơn vị phụ thuộc,,,,,,,,,,,
2,2,2,Trung tâm xử lý nước thải KCN,,,,,,,,,,,
2,2 > 2,2,Dệt May Phố Nói,13.579.917.352,13.569.487.055,2.430.241,8.000.056,(6.055.333.068),,13579917352.0,13569487055.0,2430241.0,8000056.0,-6055333068.0
2,2 > 2,2,Xí nghiệp May Vinatex Quảng Ngãi,55.859.365.293,54.300.082.526,48.521.506,1.510.761.261,(12.040.969.407),,55859365293.0,54300082526.0,48521506.0,1510761261.0,-12040969407.0
2,2 > 2,2,Nhà máy Sự Phú Hưng,230.912.947.965,229.865.563.762,1.046.057.432,1.326.771,7.074.256.629,,230912947965.0,229865563762.0,1046057432.0,1326771.0,7074256629.0
2,2 > 2,2,Chi nhánh Tập đoàn Đệt May Việt Nam tại TP. Hồ Chí Minh,19.373.623,15.900.000,3.473.623,-,(854.603.930),,19373623.0,15900000.0,3473623.0,,-854603930.0
3,2 > 3,3,Tổng,869.286.506.792,451.742.618.252,410.203.055.801,7.340.832.739,266.289.668.614,,869286506792.0,451742618252.0,410203055801.0,7340832739.0,266289668614.0
