row_label_raw,row_label_full,col_0,1/1/2015 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2015 VND,numeric__1/1/2015 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2015 VND
,,,Đã điều chỉnh lại,Đã điều chỉnh lại,Đã điều chỉnh lại,Đã điều chỉnh lại,Đã điều chỉnh lại,Đã điều chỉnh lại,,,,,,
+ Thuế nhập khẩu,+ Thuế nhập khẩu,+ Thuế nhập khẩu,-,-,1.563.871,(1.563.871),-,-,,,1563871.0,-1563871.0,,
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,1.563.871,(1.563.871),-,-,,,1563871.0,-1563871.0,,
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,192.575.759,-,2.737.147.834,(2.743.554.688),-,186.168.905,192575759.0,,2737147834.0,-2743554688.0,,186168905.0
Văn phòng,Văn phòng,Văn phòng,167.973.515,-,2.545.531.092,(2.557.851.097),-,155.653.510,167973515.0,,2545531092.0,-2557851097.0,,155653510.0
Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Xỉ nghiệp Sản xuất Kinh doanh Veston Hải Phòng,4.908.000,-,-,(4.908.000),-,-,4908000.0,,,-4908000.0,,
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,19.694.244,-,186.701.362,(179.662.089),-,26.733.517,19694244.0,,186701362.0,-179662089.0,,26733517.0
Xỉ nghiệp May Vinatex Quảng Ngãi,Xỉ nghiệp May Vinatex Quảng Ngãi,Xỉ nghiệp May Vinatex Quảng Ngãi,-,-,1.133.502,(1.133.502),-,-,,,1133502.0,-1133502.0,,
Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,-,-,2.964.985,-,-,2.964.985,,,2964985.0,,,2964985.0
Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,816.893,-,-,816.893,,,816893.0,,,816893.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,,
Tiền thuê đất,Các khoản phải nộp khác > Tiền thuê đất,Tiền thuê đất,-,-,7.309.195.641,(7.309.195.641),-,-,,,7309195641.0,-7309195641.0,,
Văn phòng Hà Nội,Các khoản phải nộp khác > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,1.022.987.221,(1.022.987.221),-,-,,,1022987221.0,-1022987221.0,,
Văn phòng Hồ Chí Minh,Các khoản phải nộp khác > Văn phòng Hồ Chí Minh,Văn phòng Hồ Chí Minh,-,-,6.286.208.420,(6.286.208.420),-,-,,,6286208420.0,-6286208420.0,,
,,,6.263.532.515,22.733.775.179,69.955.719.062,(77.849.082.447),(20.131.824.489),972.119.820,6263532515.0,22733775179.0,69955719062.0,-77849082447.0,-20131824489.0,972119820.0
