row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1/1/2015Theo báo cáo trước đây VND > -,Định giá lại các khoản đầu tư tài chính VND > -,Các điều chỉnh khác VND > 216.252.500.000,1/1/2015 Đã điều chỉnh lại VND > 216.252.500.000,numeric__1/1/2015Theo báo cáo trước đây VND > -,numeric__Định giá lại các khoản đầu tư tài chính VND > -,numeric__Các điều chỉnh khác VND > 216.252.500.000,numeric__1/1/2015 Đã điều chỉnh lại VND > 216.252.500.000
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,216.252.500.000,-,(216.252.500.000),-,216252500000.0,,-216252500000.0,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,69.761.113.522,-,(15.691.562.952),54.069.550.570,69761113522.0,,-15691562952.0,54069550570.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,-,214.584.388.608,214.584.388.608,,,214584388608.0,214584388608.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,547.373.661.825,-,(204.012.838.789),343.360.823.036,547373661825.0,,-204012838789.0,343360823036.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,6.477.765.892,-,(69.983.122),6.407.782.770,6477765892.0,,-69983122.0,6407782770.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,1.931.303.600,-,(307.529.744),1.623.773.856,1931303600.0,,-307529744.0,1623773856.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.013.487.938,-,(2.013.487.938),-,2013487938.0,,-2013487938.0,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,-,594.286.359,594.286.359,,,594286359.0,594286359.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,594.286.359,-,4.716.867.141,5.311.153.500,594286359.0,,4716867141.0,5311153500.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,2.038.941.137.360,253.772.227.706,-,2.292.713.365.066,2038941137360.0,253772227706.0,,2292713365066.0
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",872.731.729.535,164.858.757.686,11.499.264.000,1.049.089.751.221,872731729535.0,164858757686.0,11499264000.0,1049089751221.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,160.315.431.911,(7.996.284.920),-,152.319.146.991,160315431911.0,-7996284920.0,,152319146991.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(11.488.460.489),11.488.460.489,-,-,-11488460489.0,11488460489.0,,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,5.311.153.500,-,(5.311.153.500),-,5311153500.0,,-5311153500.0,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,6.267.581.014,-,(4.048.499),6.263.532.515,6267581014.0,,-4048499.0,6263532515.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,35.671.859.481,-,(25.535.044.167),10.136.815.314,35671859481.0,,-25535044167.0,10136815314.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,815.157.554.102,-,2.572.523.895,817.730.077.997,815157554102.0,,2572523895.0,817730077997.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",35.632.108.960,-,(510.000.000),35.122.108.960,35632108960.0,,-510000000.0,35122108960.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,-,28.460.160.000,28.460.160.000,,,28460160000.0,28460160000.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,1.002.129.600,422.123.160.961,(995.341.166),422.129.949.395,1002129600.0,422123160961.0,-995341166.0,422129949395.0
