row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,410.527.409.906,375.622.528.489,29.847.466.114,24.061.739.110,840.059.143.619,410527409906.0,375622528489.0,29847466114.0,24061739110.0,840059143619.0
Tăng do mua sắm trong năm,Nguyên giá > Tăng do mua sắm trong năm,Tăng do mua sắm trong năm,-,6.284.253.844,13.018.210.909,505.127.728,19.807.592.481,,6284253844.0,13018210909.0,505127728.0,19807592481.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,3.755.257.127,51.224.072.559,-,-,54.979.329.686,3755257127.0,51224072559.0,,,54979329686.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.888.565.654),-,(35.941.920),(1.924.507.574),,-1888565654.0,,-35941920.0,-1924507574.0
Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Nguyên giá > Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,(36.423.441.182),(35.362.649.651),(1.069.225.455),(550.022.697),(73.405.338.985),-36423441182.0,-35362649651.0,-1069225455.0,-550022697.0,-73405338985.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.859.225.851,395.879.639.587,41.796.451.568,23.980.902.221,839.516.219.227,377859225851.0,395879639587.0,41796451568.0,23980902221.0,839516219227.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,157.399.083.500,231.734.110.027,11.369.472.800,7.102.394.446,407.605.060.773,157399083500.0,231734110027.0,11369472800.0,7102394446.0,407605060773.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,17.128.510.354,21.099.891.144,4.924.087.848,3.361.139.028,46.513.628.374,17128510354.0,21099891144.0,4924087848.0,3361139028.0,46513628374.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(714.675.460),-,(31.748.697),(746.424.157),,-714675460.0,,-31748697.0,-746424157.0
Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giá trị hao mòn lũy kế > Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,(11.511.772.013),(26.271.358.149),(153.198.161),(228.509.483),(38.164.837.806),-11511772013.0,-26271358149.0,-153198161.0,-228509483.0,-38164837806.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,163.015.821.841,225.847.967.562,16.140.362.487,10.203.275.294,415.207.427.184,163015821841.0,225847967562.0,16140362487.0,10203275294.0,415207427184.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,253.128.326.406,143.888.418.462,18.477.993.314,16.959.344.664,432.454.082.846,253128326406.0,143888418462.0,18477993314.0,16959344664.0,432454082846.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,214.843.404.010,170.031.672.025,25.656.089.081,13.777.626.927,424.308.792.043,214843404010.0,170031672025.0,25656089081.0,13777626927.0,424308792043.0
