row_label_raw,row_label_full,col_0,Vốn góp VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ hỗ trợ sắp xếp doanh nghiệp VND,Lợi nhuận chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng VND,numeric__Vốn góp VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,4.285.655.300.181,-,-,268.948.213.644,18.964.022.745,112.831.135.000,-,4.686.398.671.570,4285655300181.0,,,268948213644.0,18964022745.0,112831135000.0,,4686398671570.0
Vốn phát hành thêm để cổ phần hóa,Vốn phát hành thêm để cổ phần hóa,Vốn phát hành thêm để cổ phần hóa,-,-,730.315.739.393,-,-,-,-,730.315.739.393,,,730315739393.0,,,,,730315739393.0
Tăng vốn góp do Ngân sách Nhà nước cấp cho một công ty con,Tăng vốn góp do Ngân sách Nhà nước cấp cho một công ty con,Tăng vốn góp do Ngân sách Nhà nước cấp cho một công ty con,14.787.838.706,-,-,-,-,-,-,14.787.838.706,14787838706.0,,,,,,,14787838706.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,259.497.558.739,-,259.497.558.739,,,,,,259497558739.0,,259497558739.0
Phân phối lợi nhuận vào các quỹ,Phân phối lợi nhuận vào các quỹ,Phân phối lợi nhuận vào các quỹ,-,-,-,77.290.533.921,-,(103.749.078.921),-,(26.458.545.000),,,,77290533921.0,,-103749078921.0,,-26458545000.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(1.582.256.946),-,-,(1.582.256.946),,,,,-1582256946.0,,,-1582256946.0
Nộp Ngân sách Nhà nước,Nộp Ngân sách Nhà nước,Nộp Ngân sách Nhà nước,-,-,-,-,-,(111.522.692.784),-,(111.522.692.784),,,,,,-111522692784.0,,-111522692784.0
Chuyển sang phải trả ngắn hạn khác,Chuyển sang phải trả ngắn hạn khác,Chuyển sang phải trả ngắn hạn khác,10.639.972.950,-,-,(349.762.123.458),(17.594.563.396),(159.250.645.027),-,(515.967.358.931),10639972950.0,,,-349762123458.0,-17594563396.0,-159250645027.0,,-515967358931.0
Biến động khác,Biến động khác,Biến động khác,(11.487.200.338),-,-,3.523.375.893,212.797.597,2.193.722.993,-,(5.557.303.855),-11487200338.0,,,3523375893.0,212797597.0,2193722993.0,,-5557303855.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,4.299.595.911.499,-,730.315.739.393,-,-,-,-,5.029.911.650.892,4299595911499.0,,730315739393.0,,,,,5029911650892.0
Điều chuyển tăng vốn công ty cổ phần,Điều chuyển tăng vốn công ty cổ phần,Điều chuyển tăng vốn công ty cổ phần,700.404.088.501,29.911.650.892,(730.315.739.393),-,-,266.289.668.614,-,266.289.668.614,700404088501.0,29911650892.0,-730315739393.0,,,266289668614.0,,266289668614.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,235.664.195.144,235.664.195.144,,,,,,,235664195144.0,235664195144.0
Nguồn vốn đầu tư xây dựng cơ bản dược Ngân sách Nhà nước cấp,Nguồn vốn đầu tư xây dựng cơ bản dược Ngân sách Nhà nước cấp,Nguồn vốn đầu tư xây dựng cơ bản dược Ngân sách Nhà nước cấp,-,-,-,-,-,-,-,-,,,,,,,,
Số dư tại ngày 31 tháng 12 năm 2015,Nguồn vốn đầu tư xây dựng cơ bản dược Ngân sách Nhà nước cấp > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,5.000.000.000.000,29.911.650.892,-,-,-,266.289.668.614,235.664.195.144,5.531.865.514.650,5000000000000.0,29911650892.0,,,,266289668614.0,235664195144.0,5531865514650.0
