row_label_raw,row_label_full,col_0,1/1/2015VNDĐã điều chỉnh lại,Số đã nộp trong năm VND,Số phát sinh/đã thu được trong năm VND,Bù trừ với khoản phải trả VND,31/12/2015VND,numeric__1/1/2015VNDĐã điều chỉnh lại,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/đã thu được trong năm VND,numeric__Bù trừ với khoản phải trả VND,numeric__31/12/2015VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,138.620.034,529.617.227,(448.017.062),-,220.220.199,138620034.0,529617227.0,-448017062.0,,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,138.620.034,529.617.227,(448.017.062),-,220.220.199,138620034.0,529617227.0,-448017062.0,,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",180.191.331,1.140.901.153,(1.296.459.097),-,24.633.387,180191331.0,1140901153.0,-1296459097.0,,24633387.0
Văn phòng,Thuế > Văn phòng,Văn phòng,180.191.331,1.140.901.153,(1.296.459.097),-,24.633.387,180191331.0,1140901153.0,-1296459097.0,,24633387.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,,,,
Lợi nhuận nộp thừa phải thu từ Nhà nước,Các khoản phải thu khác > Lợi nhuận nộp thừa phải thu từ Nhà nước,Lợi nhuận nộp thừa phải thu từ Nhà nước,1.231.078.081,-,-,(1.231.078.081),-,1231078081.0,,,-1231078081.0,
Văn phòng,Các khoản phải thu khác > Văn phòng,Văn phòng,1.231.078.081,-,-,(1.231.078.081),-,1231078081.0,,,-1231078081.0,
Khác,Các khoản phải thu khác > Khác,Khác,73.884.410,77.216.262,-,-,151.100.672,73884410.0,77216262.0,,,151100672.0
Xí nghiệp Sản xuất Kinh doanhVeston Hải Phòng,Các khoản phải thu khác > Xí nghiệp Sản xuất Kinh doanhVeston Hải Phòng,Xí nghiệp Sản xuất Kinh doanhVeston Hải Phòng,73.884.410,77.216.262,-,-,151.100.672,73884410.0,77216262.0,,,151100672.0
,,,1.623.773.856,1.747.734.642,(1.744.476.159),(1.231.078.081),395.954.258,1623773856.0,1747734642.0,-1744476159.0,-1231078081.0,395954258.0
