row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,62.544.728.600,600.350.000,63.145.078.600,62544728600.0,600350000.0,63145078600.0
Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Nguyên giá > Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,-,(65.200.000),(65.200.000),,-65200000.0,-65200000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,62.544.728.600,535.150.000,63.079.878.600,62544728600.0,535150000.0,63079878600.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.754.276.160,573.938.878,9.328.215.038,8754276160.0,573938878.0,9328215038.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.250.894.568,26.411.122,1.277.305.690,1250894568.0,26411122.0,1277305690.0
Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giá trị hao mòn lũy kế > Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,Giảm do điều chuyển Xí nghiệp Sản xuất Kinh doanh Veston Hải Phòng,-,(65.200.000),(65.200.000),,-65200000.0,-65200000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.005.170.728,535.150.000,10.540.320.728,10005170728.0,535150000.0,10540320728.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,53.790.452.440,26.411.122,53.816.863.562,53790452440.0,26411122.0,53816863562.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.539.557.872,-,52.539.557.872,52539557872.0,,52539557872.0
