row_label_raw,row_label_full,col_0,1/1/2015VNDĐã điều chỉnh lại,Thuế GTGTđầu raVND,Số phát sinhtrong nămVND,Số đã nộptrong nămVND,Bù trừ với thuếGTGT đầu vào/số phải thuVND,31/12/2015VND,numeric__1/1/2015VNDĐã điều chỉnh lại,numeric__Thuế GTGTđầu raVND,numeric__Số phát sinhtrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Bù trừ với thuếGTGT đầu vào/số phải thuVND,numeric__31/12/2015VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,6.070.956.756,22.733.775.179,-,(8.225.614.299),(20.131.824.489),447.293.147,6070956756.0,22733775179.0,,-8225614299.0,-20131824489.0,447293147.0
Văn phòng,Thuế > Văn phòng,Văn phòng,2.858.318.779,12.643.748.275,-,(3.010.707.777),(12.491.359.277),-,2858318779.0,12643748275.0,,-3010707777.0,-12491359277.0,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,1.630.985.185,5.777.861.795,-,(1.630.985.185),(5.777.861.795),-,1630985185.0,5777861795.0,,-1630985185.0,-5777861795.0,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,1.581.652.792,3.612.647.414,-,(3.378.074.255),(1.686.713.794),129.512.157,1581652792.0,3612647414.0,,-3378074255.0,-1686713794.0,129512157.0
Nhà máy May Kiên Giang,Thuế > Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,-,699.517.695,-,(205.847.082),(175.889.623),317.780.990,,699517695.0,,-205847082.0,-175889623.0,317780990.0
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,56.281.579.086,(56.281.579.086),-,-,,,56281579086.0,-56281579086.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,55.838.415.626,(55.838.415.626),-,-,,,55838415626.0,-55838415626.0,,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,443.163.460,(443.163.460),-,-,,,443163460.0,-443163460.0,,
Thuế nhà thầu,Thuế > Thuế nhà thầu,Thuế nhà thầu,-,-,3.618.232.630,(3.279.574.862),-,338.657.768,,,3618232630.0,-3279574862.0,,338657768.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,3.618.232.630,(3.279.574.862),-,338.657.768,,,3618232630.0,-3279574862.0,,338657768.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,192.575.759,-,2.746.711.705,(2.753.118.559),-,186.168.905,192575759.0,,2746711705.0,-2753118559.0,,186168905.0
+ Thuế môn bài,Thuế > + Thuế môn bài,+ Thuế môn bài,-,-,8.000.000,(8.000.000),-,-,,,8000000.0,-8000000.0,,
Văn phòng Hà Nội,Thuế > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,3.000.000,(3.000.000),-,-,,,3000000.0,-3000000.0,,
Văn phòng Hồ Chí Minh,Thuế > Văn phòng Hồ Chí Minh,Văn phòng Hồ Chí Minh,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Trung tâm XLNT KCN Đệt may phố Nói,Thuế > Trung tâm XLNT KCN Đệt may phố Nói,Trung tâm XLNT KCN Đệt may phố Nói,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy May Kiên Giang,Thuế > Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
