row_label_raw,row_label_full,Loại phát hành trái phiếu ngang giá,Loại phát hành trái phiếu ngang giá_1,Loại phát hành trái phiếu ngang giá_2,numeric__Loại phát hành trái phiếu ngang giá_1,numeric__Loại phát hành trái phiếu ngang giá_2
Trái phiếu có đại lý phát hành/tổ chức tư vấn là,Trái phiếu có đại lý phát hành/tổ chức tư vấn là,Trái phiếu có đại lý phát hành/tổ chức tư vấn là,31/12/2024,01/01/2024,,
1. Trái phiếu ngắn hạn,Trái phiếu có đại lý phát hành/tổ chức tư vấn là > 1. Trái phiếu ngắn hạn,1. Trái phiếu ngắn hạn,15.662.869.221.471,14.430.659.342.264,15662869221471.0,14430659342264.0
Công ty Cổ phần Chứng khoán VPS (1),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),5.450.000.000.000,7.000.000.000.000,5450000000000.0,7000000000000.0
Công ty Cổ phần chứng khoán SSI (2),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),3.428.000.000.000,3.428.000.000.000,3428000000000.0,3428000000000.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),2.199.259.959.577,1.657.410.152.311,2199259959577.0,1657410152311.0
Công ty Cổ phần Chứng khoán BIDV (4),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),2.221.389.546.790,2.214.549.189.953,2221389546790.0,2214549189953.0
Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),1.300.000.000.000,-,1300000000000.0,
Công ty Cổ phần Chứng khoán MB (6),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán MB (6),Công ty Cổ phần Chứng khoán MB (6),864.003.400.000,-,864003400000.0,
Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),115.320.415.104,130.700.000.000,115320415104.0,130700000000.0
Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Công ty TNHH Chứng khoán Yuanta Việt Nam (8),84.895.900.000,-,84895900000.0,
2. Trái phiếu dài hạn,Trái phiếu có đại lý phát hành/tổ chức tư vấn là > 2. Trái phiếu dài hạn,2. Trái phiếu dài hạn,9.490.872.840.875,11.709.689.359.119,9490872840875.0,11709689359119.0
"UBS AG, Singapore Branch (Trước đây là Credit Suisse AG, Singapore Branch) (9)","Trái phiếu có đại lý phát hành/tổ chức tư vấn là > UBS AG, Singapore Branch (Trước đây là Credit Suisse AG, Singapore Branch) (9)","UBS AG, Singapore Branch (Trước đây là Credit Suisse AG, Singapore Branch) (9)",8.200.217.339.280,7.291.812.000.000,8200217339280.0,7291812000000.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),1.290.655.501.595,1.940.535.159.119,1290655501595.0,1940535159119.0
Công ty Cổ phần Chứng khoán BIDV (4),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),-,225.000.000.000,,225000000000.0
Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),Công ty Cổ phần Chứng khoán Ngân hàng Kỹ Thương (5),-,1.300.000.000.000,,1300000000000.0
Công ty Cổ phần Chứng khoán MB (6),Trái phiếu có đại lý phát hành/tổ chức tư vấn là > Công ty Cổ phần Chứng khoán MB (6),Công ty Cổ phần Chứng khoán MB (6),-,864.003.400.000,,864003400000.0
Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),,-,,
Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7) > Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Công ty TNHH Chứng khoán Yuanta Việt Nam (8),-,88.338.800.000,,88338800000.0
Cộng,Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7) > Cộng,Cộng,25.153.742.062.346,26.140.348.701.383,25153742062346.0,26140348701383.0
