row_label_raw,row_label_full,col_0,31/12/2024 > Giá gốc,31/12/2024 > Giá trị có thể thu hồi,31/12/2024 > Dự phòng,31/12/2024 > Thời gian quá hạn,01/01/2024 > Giá gốc,01/01/2024 > Giá trị có thể thu hồi,01/01/2024 > Dự phòng,01/01/2024 > Thời gian quá hạn,numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Giá trị có thể thu hồi,numeric__31/12/2024 > Dự phòng,numeric__31/12/2024 > Thời gian quá hạn,numeric__01/01/2024 > Giá gốc,numeric__01/01/2024 > Giá trị có thể thu hồi,numeric__01/01/2024 > Dự phòng,numeric__01/01/2024 > Thời gian quá hạn
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,21.009.194.083,229.274.320,20.779.919.763,,15.000.000.000,-,15.000.000.000,,21009194083.0,229274320.0,20779919763.0,,15000000000.0,,15000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.722.683.842,27.318.500,1.695.365.342,>3 năm,-,-,-,,1722683842.0,27318500.0,1695365342.0,,,,,
Ứng trước người bán,Ứng trước người bán,Ứng trước người bán,890.144.386,-,890.144.386,>3 năm,-,-,-,,890144386.0,,890144386.0,,,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.396.365.855,201.955.820,3.194.410.035,>3 năm,-,-,-,,3396365855.0,201955820.0,3194410035.0,,,,,
Công ty CP Điện tử và Dịch vụ Công Nghiệp SG,Công ty CP Điện tử và Dịch vụ Công Nghiệp SG,Công ty CP Điện tử và Dịch vụ Công Nghiệp SG,15.000.000.000,-,15.000.000.000,>3 năm,15.000.000.000,-,15.000.000.000,>3 năm,15000000000.0,,15000000000.0,,15000000000.0,,15000000000.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,16.502.000.000,-,16.502.000.000,,-,-,-,,16502000000.0,,16502000000.0,,,,,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,16.502.000.000,-,16.502.000.000,,-,-,-,,16502000000.0,,16502000000.0,,,,,
Công ty TNHH MTV Du lịch Thanh niên Việt Nam,Công ty TNHH MTV Du lịch Thanh niên Việt Nam,Công ty TNHH MTV Du lịch Thanh niên Việt Nam,16.500.000.000,-,16.500.000.000,>3 năm,-,-,-,,16500000000.0,,16500000000.0,,,,,
Công ty khác,Công ty khác,Công ty khác,2.000.000,-,2.000.000,>3 năm,-,-,-,,2000000.0,,2000000.0,,,,,
Tổng cộng,Tổng cộng,Tổng cộng,37.511.194.083,229.274.320,37.281.919.763,,15.000.000.000,-,15.000.000.000,,37511194083.0,229274320.0,37281919763.0,,15000000000.0,,15000000000.0,
