row_label_raw,row_label_full,V.17 Chi phí phải trả,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,5.407.835.233.567,3.171.864.296.792,5407835233567.0,3171864296792.0
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,5.174.129.335.750,3.021.762.780.279,5174129335750.0,3021762780279.0
Trích trước chi phí xây dựng,Trích trước chi phí xây dựng,Trích trước chi phí xây dựng,128.699.925.467,128.698.344.782,128699925467.0,128698344782.0
Các khoản trích trước chi phí khác,Các khoản trích trước chi phí khác,Các khoản trích trước chi phí khác,105.005.972.350,21.403.171.731,105005972350.0,21403171731.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,342.309.912.572,-,342309912572.0,
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,342.309.912.572,-,342309912572.0,
Công ty Cổ phần Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,288.899.678.743,-,288899678743.0,
Bên liên quan dài hạn (c),Bên liên quan dài hạn (c),Bên liên quan dài hạn (c),53.410.233.829,-,53410233829.0,
Cộng,Cộng,Cộng,5.750.145.146.139,3.171.864.296.792,5750145146139.0,3171864296792.0
