row_label_raw,row_label_full,col_0,Ngày giải ngânNgày đáo hạn,31/12/2024,01/01/2024,numeric__Ngày giải ngânNgày đáo hạn,numeric__31/12/2024,numeric__01/01/2024
1. Vay ngắn hạn bên thứ 3,1. Vay ngắn hạn bên thứ 3,1. Vay ngắn hạn bên thứ 3,,7.405.943.760.000,5.653.279.200.000,,7405943760000.0,5653279200000.0
Credit Opportunities III Pte. Limited (1),Credit Opportunities III Pte. Limited (1),Credit Opportunities III Pte. Limited (1),18/08/202218/08/2025,2.452.896.000.000,586.080.000.000,,2452896000000.0,586080000000.0
Seatown Private Credit Master Fund (2),Seatown Private Credit Master Fund (2),Seatown Private Credit Master Fund (2),12/04/202112/05/2024,2.242.355.760.000,2.143.099.200.000,,2242355760000.0,2143099200000.0
"UBS AG, Singapore Branch (Trước đây là Credit Suise AG, Singapore Branch) (3)","UBS AG, Singapore Branch (Trước đây là Credit Suise AG, Singapore Branch) (3)","UBS AG, Singapore Branch (Trước đây là Credit Suise AG, Singapore Branch) (3)",12/08/202214/02/2025,1.405.305.000.000,1.343.100.000.000,,1405305000000.0,1343100000000.0
Starklst Co. Ltd (4),Starklst Co. Ltd (4),Starklst Co. Ltd (4),31/12/202115/07/2024,945.387.000.000,1.221.000.000.000,,945387000000.0,1221000000000.0
Vay cá nhân khác (5),Vay cá nhân khác (5),Vay cá nhân khác (5),28/10/202115/03/2027,360.000.000.000,360.000.000.000,,360000000000.0,360000000000.0
2. Vay dài hạn bên thứ 3,2. Vay dài hạn bên thứ 3,2. Vay dài hạn bên thứ 3,,-,1.758.240.000.000,,,1758240000000.0
Credit Opportunities III Pte. Limited (1),Credit Opportunities III Pte. Limited (1),Credit Opportunities III Pte. Limited (1),18/08/202218/08/2025,-,1.758.240.000.000,,,1758240000000.0
Cộng,Cộng,Cộng,,7.405.943.760.000,7.411.519.200.000,,7405943760000.0,7411519200000.0
