row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Chương trình phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Tổng cộng
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,,,,,,
Số dư đầu năm,1. Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.754.517.947,112.132.828.175,169.887.346.122,57754517947.0,112132828175.0,169887346122.0
Số dư cuối năm,1. Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.754.517.947,112.132.828.175,169.887.346.122,57754517947.0,112132828175.0,169887346122.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,2. Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,100.114.377.378,100.114.377.378,,100114377378.0,100114377378.0
Khấu hao trong năm,2. Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,7.801.687.830,7.801.687.830,,7801687830.0,7801687830.0
Số dư cuối năm,2. Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,107.916.065.208,107.916.065.208,,107916065208.0,107916065208.0
3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),,,,,,
Số dư đầu năm,3. Giá trị còn lại (1-2) > Số dư đầu năm,Số dư đầu năm,57.754.517.947,12.018.450.797,69.772.968.744,57754517947.0,12018450797.0,69772968744.0
Số dư cuối năm,3. Giá trị còn lại (1-2) > Số dư cuối năm,Số dư cuối năm,57.754.517.947,4.216.762.967,61.971.280.914,57754517947.0,4216762967.0,61971280914.0
