row_label_raw,row_label_full,col_0,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,,,,
Vốn góp đầu năm,Vốn góp của chủ sở hữu > Vốn góp đầu năm,Vốn góp đầu năm,19.501.045.380.000,19.501.045.380.000,19501045380000.0,19501045380000.0
Vốn góp cuối năm,Vốn góp của chủ sở hữu > Vốn góp cuối năm,Vốn góp cuối năm,19.501.045.380.000,19.501.045.380.000,19501045380000.0,19501045380000.0
"Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia",-,-,,
V.22.4 Cổ tức,V.22.4 Cổ tức,V.22.4 Cổ tức,Năm 2024,Năm 2023,,
Cổ tức đã công bố sau ngày kết thúc niên độ,Cổ tức đã công bố sau ngày kết thúc niên độ,Cổ tức đã công bố sau ngày kết thúc niên độ,,,,
Cổ tức đã công bố trên cổ phiếu thường,Cổ tức đã công bố trên cổ phiếu thường,Cổ tức đã công bố trên cổ phiếu thường,Chưa công bố,-,,
V.22.5 Cổ phiếu,V.22.5 Cổ phiếu,V.22.5 Cổ phiếu,,,,
,,,31/12/2024,01/01/2024,,
Số lượng cổ phiếu đăng ký phát hành,V.22.5 Cổ phiếu > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,1.950.104.538,1.950.104.538,1950104538.0,1950104538.0
Số lượng cổ phiếu đã bán ra công chúng,V.22.5 Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,1.950.104.538,1.950.104.538,1950104538.0,1950104538.0
Cổ phiếu phổ thông,V.22.5 Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,1.950.104.538,1.950.104.538,1950104538.0,1950104538.0
Số lượng cổ phiếu đang lưu hành,V.22.5 Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,1.950.104.538,1.950.104.538,1950104538.0,1950104538.0
Cổ phiếu phổ thông,V.22.5 Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,1.950.104.538,1.950.104.538,1950104538.0,1950104538.0
Mệnh giá cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,V.22.5 Cổ phiếu > Mệnh giá cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,Mệnh giá cổ phiếu đang lưu hành: đồng Việt Nam/cổ phiếu.,10.000,10.000,10000.0,10000.0
