row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
"UBS AG, Singapore Branch (Credit Suisse AG, Singapore Branch)","UBS AG, Singapore Branch (Credit Suisse AG, Singapore Branch)","UBS AG, Singapore Branch (Credit Suisse AG, Singapore Branch)",162.887.625.025,162.887.625.025,155.677.500.000,155.677.500.000,162887625025.0,162887625025.0,155677500000.0,155677500000.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,-,-,66.764.273.974,66.764.273.974,,,66764273974.0,66764273974.0
Khác,Khác,Khác,162.184.789.559,162.184.789.559,126.733.890.343,126.733.890.343,162184789559.0,162184789559.0,126733890343.0,126733890343.0
Cộng,Cộng,Cộng,325.072.414.584,325.072.414.584,349.175.664.317,349.175.664.317,325072414584.0,325072414584.0,349175664317.0,349175664317.0
