row_label_raw,row_label_full,col_0,col_1,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__col_1,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,25.724.617.839.292,25.724.617.839.292,20.789.820.610.180,20.789.820.610.180,,25724617839292.0,25724617839292.0,20789820610180.0,20789820610180.0
20.1,20.1,20.1,Trái phiếu dài hạn đến hạn trả,15.662.869.221.471,15.662.869.221.471,14.430.659.342.264,14.430.659.342.264,,15662869221471.0,15662869221471.0,14430659342264.0,14430659342264.0
20.2,20.2,20.2,Vay ngân hàng,2.252.100.860.793,2.252.100.860.793,800.502.154.352,800.502.154.352,,2252100860793.0,2252100860793.0,800502154352.0,800502154352.0
20.3,20.3,20.3,Vay bên thứ ba,7.405.943.760.000,7.405.943.760.000,5.653.279.200.000,5.653.279.200.000,,7405943760000.0,7405943760000.0,5653279200000.0,5653279200000.0
20.4,20.4,20.4,Vay bên liên quan,443.940.000.000,443.940.000.000,-,-,,443940000000.0,443940000000.0,,
,,,Chi phí phát hành trái phiếu,(40.236.002.972),(40.236.002.972),(94.620.086.436),(94.620.086.436),,-40236002972.0,-40236002972.0,-94620086436.0,-94620086436.0
b. Vay dài hạn,b. Vay dài hạn,b. Vay dài hạn,b. Vay dài hạn,9.938.338.203.399,9.938.338.203.399,15.459.511.205.583,15.459.511.205.583,,9938338203399.0,9938338203399.0,15459511205583.0,15459511205583.0
20.1,20.1,20.1,Trái phiếu dài hạn,9.490.872.840.875,9.490.872.840.875,11.709.689.359.119,11.709.689.359.119,,9490872840875.0,9490872840875.0,11709689359119.0,11709689359119.0
33.2,33.2,33.2,Vay ngân hàng,200.000.000,200.000.000,1.709.908.577.708,1.709.908.577.708,,200000000.0,200000000.0,1709908577708.0,1709908577708.0
20.2,20.2,20.2,Vay bên thứ ba,-,-,1.758.240.000.000,1.758.240.000.000,,,,1758240000000.0,1758240000000.0
20.3,20.3,20.3,Vay bên liên quan,540.804.984.915,540.804.984.915,432.000.000.000,432.000.000.000,,540804984915.0,540804984915.0,432000000000.0,432000000000.0
20.4,20.4,20.4,Chi phí phát hành trái phiếu,(93.539.622.391),(93.539.622.391),(150.326.731.244),(150.326.731.244),,-93539622391.0,-93539622391.0,-150326731244.0,-150326731244.0
Cộng,Cộng,Cộng,Cộng,35.662.956.042.691,35.662.956.042.691,36.249.331.815.763,36.249.331.815.763,,35662956042691.0,35662956042691.0,36249331815763.0,36249331815763.0
