row_label_raw,row_label_full,a. Ngắn hạn,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Phải trả từ việc bán cổ phiếu giải chấp của các bên đảm bảo (1),Phải trả từ việc bán cổ phiếu giải chấp của các bên đảm bảo (1),Phải trả từ việc bán cổ phiếu giải chấp của các bên đảm bảo (1),2.685.672.297.964,2.085.276.608.351,2685672297964.0,2085276608351.0
Hợp tác đầu tư phát triển dự án (3),Hợp tác đầu tư phát triển dự án (3),Hợp tác đầu tư phát triển dự án (3),1.882.403.473.588,-,1882403473588.0,
Nhận đặt cọc chuyển nhượng dự án (2),Nhận đặt cọc chuyển nhượng dự án (2),Nhận đặt cọc chuyển nhượng dự án (2),388.820.357.740,388.820.357.740,388820357740.0,388820357740.0
Phải trả từ việc cần trừ công nợ,Phải trả từ việc cần trừ công nợ,Phải trả từ việc cần trừ công nợ,281.620.568.627,182.707.843.223,281620568627.0,182707843223.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,5.296.729.448,5.192.839.206,5296729448.0,5192839206.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,1.969.845.652,1.969.365.652,1969845652.0,1969365652.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",1.209.669.517.343,317.410.556.024,1209669517343.0,317410556024.0
Cộng,Cộng,Cộng,6.455.452.790.362,2.981.377.570.196,6455452790362.0,2981377570196.0
Số dư của bên thứ 3 và bên liên quan như sau:,Số dư của bên thứ 3 và bên liên quan như sau:,Số dư của bên thứ 3 và bên liên quan như sau:,Số dư của bên thứ 3 và bên liên quan như sau:,Số dư của bên thứ 3 và bên liên quan như sau:,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,31/12/2024,01/01/2024,,
Phải trả bên liên quan (c),Ngắn hạn > Phải trả bên liên quan (c),Phải trả bên liên quan (c),3.878.047.279.592,2.371.360.178.373,3878047279592.0,2371360178373.0
Công ty Cổ phần Kinh doanh Nhà Nova,Ngắn hạn > Công ty Cổ phần Kinh doanh Nhà Nova,Công ty Cổ phần Kinh doanh Nhà Nova,1.893.319.268.317,18.345.886.633,1893319268317.0,18345886633.0
Công ty Cổ phần Tư vấn Bất động sản Bi Vi (2),Ngắn hạn > Công ty Cổ phần Tư vấn Bất động sản Bi Vi (2),Công ty Cổ phần Tư vấn Bất động sản Bi Vi (2),388.820.357.740,388.820.357.740,388820357740.0,388820357740.0
Phải trả cho bên thứ ba khác,Ngắn hạn > Phải trả cho bên thứ ba khác,Phải trả cho bên thứ ba khác,295.265.884.713,202.851.147.450,295265884713.0,202851147450.0
Cộng,Ngắn hạn > Cộng,Cộng,6.455.452.790.362,2.981.377.570.196,6455452790362.0,2981377570196.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,31/12/2024,01/01/2024,,
Hợp tác đầu tư phát triển dự án (3),b. Dài hạn > Hợp tác đầu tư phát triển dự án (3),Hợp tác đầu tư phát triển dự án (3),18.647.409.000.000,22.276.682.373.990,18647409000000.0,22276682373990.0
Công ty Cổ phần Novareal,b. Dài hạn > Công ty Cổ phần Novareal,Công ty Cổ phần Novareal,15.714.409.000.000,16.909.090.000.000,15714409000000.0,16909090000000.0
Bên thứ 3 khác,b. Dài hạn > Bên thứ 3 khác,Bên thứ 3 khác,-,2.434.592.373.990,,2434592373990.0
Bên liên quan (c),b. Dài hạn > Bên liên quan (c),Bên liên quan (c),2.933.000.000.000,2.933.000.000.000,2933000000000.0,2933000000000.0
Các khoản phải trả khác bên liên quan (c),b. Dài hạn > Các khoản phải trả khác bên liên quan (c),Các khoản phải trả khác bên liên quan (c),-,1.142.340.858.709,,1142340858709.0
Khác,b. Dài hạn > Khác,Khác,-,96.565.506,,96565506.0
Cộng,b. Dài hạn > Cộng,Cộng,18.647.409.000.000,23.419.119.798.205,18647409000000.0,23419119798205.0
