row_label_raw,row_label_full,1,Công ty Cổ Phần Nova Hospitality,numeric__Công ty Cổ Phần Nova Hospitality
2,2,2,Công ty TNHH No Va Thảo Điền,
3,3,3,Công ty TNHH Địa ốc No Va Mỹ Đình,
4,4,4,Công ty TNHH Bất động sản Khải Hung,
5,5,5,Công ty Cổ phần Đầu tư Địa ốc No Va,
6,6,6,Công ty TNHH Đầu Tư Địa Ốc Nova Saigon Royal,
7,7,7,Công ty TNHH Bất động sản Gia Đức,
8,8,8,Công ty Cổ phần The Prince Residence,
9,9,9,Công Ty TNHH Đầu tư Bất động sản Tân Kim Yến,
10,10,10,Công ty TNHH Đầu tư Bất động sản Unity,
11,11,11,Công Ty TNHH Bất động sản Đà Lạt Valley,
12,12,12,Công ty TNHH Đầu tư và Bất động sản Tường Minh,
13,13,13,Công ty TNHH Bất động sản Bách Hợp,
14,14,14,Công ty TNHH ĐT&PT BDS An Phát,
15,15,15,Công ty TNHH Nova Rivergate,
16,16,16,Công ty TNHH ĐT và PT BDS Nova Phúc Nguyên,
17,17,17,Công ty Cổ phần Địa Ốc Thành Nhơn (**),
18,18,18,Công ty TNHH Nova Sasco,
19,19,19,Công ty TNHH Nova Nam Á,
20,20,20,Công ty Cổ phần Nova Princess Residence,
21,21,21,Công ty TNHH Đầu tư và Phát triển Địa ốc Gia Huy,
22,22,22,Công ty TNHH Nova Sagel,
23,23,23,Công ty TNHH Nova An Phú,
24,24,24,Công ty Cổ phần Ngôi Nhà Mega,
25,25,25,Công ty Cổ phần Nova Festival,
26,26,26,Công ty TNHH Nova Property Management,
27,27,27,Công ty TNHH Nova Lucky Palace,
28,28,28,Công ty TNHH Đầu tư Địa ốc Novaland Đất Tâm,
