row_label_raw,row_label_full,V.13 Chi phí xây dựng cơ bản dở dang,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
"Chi phí xây dựng cơ bản, sửa chữa văn phòng","Chi phí xây dựng cơ bản, sửa chữa văn phòng","Chi phí xây dựng cơ bản, sửa chữa văn phòng",4.107.799.041,6.451.621.122,4107799041.0,6451621122.0
Cộng,Cộng,Cộng,4.107.799.041,6.451.621.122,4107799041.0,6451621122.0
Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,,
,,,Năm 2024,Năm 2023,,
Số dư đầu năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Số dư đầu năm,Số dư đầu năm,6.451.621.122,16.659.587.273,6451621122.0,16659587273.0
Tăng trong năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Tăng trong năm,Tăng trong năm,-,122.800.000,,122800000.0
Kết chuyển sang TSCĐ hữu hình,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Kết chuyển sang TSCĐ hữu hình,Kết chuyển sang TSCĐ hữu hình,-,(4.996.405.960),,-4996405960.0
Kết chuyển sang hàng tồn kho,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Kết chuyển sang hàng tồn kho,Kết chuyển sang hàng tồn kho,(730.149.429),-,-730149429.0,
Kết chuyển sang TSCĐ vô hình,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Kết chuyển sang TSCĐ vô hình,Kết chuyển sang TSCĐ vô hình,-,(3.943.422.500),,-3943422500.0
Khác,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Khác,Khác,(1.613.672.652),(1.390.937.691),-1613672652.0,-1390937691.0
Số dư cuối năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Số dư cuối năm,Số dư cuối năm,4.107.799.041,6.451.621.122,4107799041.0,6451621122.0
