row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc (*)",Máy mócthiết bị,Phương tiệnvận tải,Thiết bị dụng cụquản lý,Tài sân cố định hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc (*)",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sân cố định hữuhình khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,522.086.755.185,18.832.891.670,18.057.067.637,51.872.196.377,99.000.000,610.947.910.869,522086755185.0,18832891670.0,18057067637.0,51872196377.0,99000000.0,610947910869.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.585.090.000),(71.238.000),-,(4.656.328.000),,,-4585090000.0,-71238000.0,,-4656328000.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(1.298.014.200),-,-,(1.298.014.200),,,-1298014200.0,,,-1298014200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,522.086.755.185,18.832.891.670,12.173.963.437,51.800.958.377,99.000.000,604.993.568.669,522086755185.0,18832891670.0,12173963437.0,51800958377.0,99000000.0,604993568669.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,69.034.498.762,9.477.359.130,14.680.115.815,49.553.757.072,99.000.000,142.844.730.779,69034498762.0,9477359130.0,14680115815.0,49553757072.0,99000000.0,142844730779.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.287.048.818,988.039.480,650.931.555,1.831.412.513,-,14.757.432.366,11287048818.0,988039480.0,650931555.0,1831412513.0,,14757432366.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.585.090.000),(71.238.000),-,(4.656.328.000),,,-4585090000.0,-71238000.0,,-4656328000.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,(1.298.014.200),-,-,(1.298.014.200),,,-1298014200.0,,,-1298014200.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,80.321.547.580,10.465.398.610,9.447.943.170,51.313.931.585,99.000.000,151.647.820.945,80321547580.0,10465398610.0,9447943170.0,51313931585.0,99000000.0,151647820945.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,453.052.256.423,9.355.532.540,3.376.951.822,2.318.439.305,-,468.103.180.090,453052256423.0,9355532540.0,3376951822.0,2318439305.0,,468103180090.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,441.765.207.605,8.367.493.060,2.726.020.267,487.026.792,-,453.345.747.724,441765207605.0,8367493060.0,2726020267.0,487026792.0,,453345747724.0
