row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Cộng
Số dư nợ vay đầu năm,Số dư nợ vay đầu năm,Số dư nợ vay đầu năm,20.789.820.610.180,15.459.511.205.583,36.249.331.815.763,20789820610180.0,15459511205583.0,36249331815763.0
Phát sinh tăng vay trong năm,Phát sinh tăng vay trong năm,Phát sinh tăng vay trong năm,443.940.000.000,666.293.573.715,1.110.233.573.715,443940000000.0,666293573715.0,1110233573715.0
Phát sinh trả vay trong năm,Phát sinh trả vay trong năm,Phát sinh trả vay trong năm,(2.482.550.401.272),54.659.008.853,(2.427.891.392.419),-2482550401272.0,54659008853.0,-2427891392419.0
Đánh giá chênh lệch tỷ giá tăng,Đánh giá chênh lệch tỷ giá tăng,Đánh giá chênh lệch tỷ giá tăng,380.365.295.152,350.916.750.480,731.282.045.632,380365295152.0,350916750480.0,731282045632.0
Kết chuyển vay dài hạn sang ngắn hạn,Kết chuyển vay dài hạn sang ngắn hạn,Kết chuyển vay dài hạn sang ngắn hạn,6.593.042.335.232,(6.593.042.335.232),-,6593042335232.0,-6593042335232.0,
Số dư nợ vay cuối năm,Số dư nợ vay cuối năm,Số dư nợ vay cuối năm,25.724.617.839.292,9.938.338.203.399,35.662.956.042.691,25724617839292.0,9938338203399.0,35662956042691.0
