row_label_raw,row_label_full,Tỷ lệ sở hữu (%),Giá gốc,Dự phòng,Giá trị hợp lý,Tỷ lệ sở hữu (%)_1,Giá gốc_1,Dự phòng_1,Giá trị hợp lý_1,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị hợp lý,numeric__Tỷ lệ sở hữu (%)_1,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Giá trị hợp lý_1
"99,99%","99,99%","99,99%",20.115.509.210.000,-,(*),"99,99%",20.115.509.210.000,-,(*),20115509210000.0,,,0.9998999999999999,20115509210000.0,,
"99,99%","99,99%","99,99%",7.821.622.500.000,-,(*),"99,99%",7.821.622.500.000,-,(*),7821622500000.0,,,0.9998999999999999,7821622500000.0,,
"67,15%","67,15%","67,15%",5.070.926.000.000,-,(*),"99,99%",7.550.594.000.000,-,(*),5070926000000.0,,,0.9998999999999999,7550594000000.0,,
"97,76%","97,76%","97,76%",6.920.965.000.000,-,(*),"97,76%",6.920.965.000.000,-,(*),6920965000000.0,,,0.9776,6920965000000.0,,
"98,09%","98,09%","98,09%",5.470.700.000.000,-,(*),"98,09%",5.470.700.000.000,-,(*),5470700000000.0,,,0.9809,5470700000000.0,,
"99,99%","99,99%","99,99%",3.527.393.300.000,-,(*),"99,99%",3.527.393.300.000,-,(*),3527393300000.0,,,0.9998999999999999,3527393300000.0,,
"99,99%","99,99%","99,99%",3.739.989.500.000,-,(*),"99,99%",3.739.989.500.000,-,(*),3739989500000.0,,,0.9998999999999999,3739989500000.0,,
"99,96%","99,96%","99,96%",3.140.639.200.000,-,(*),"99,96%",3.140.639.200.000,-,(*),3140639200000.0,,,0.9995999999999999,3140639200000.0,,
"99,99%","99,99%","99,99%",709.999.000.000,(26.663.963.273),(*),"99,99%",2.204.600.000.000,-,(*),709999000000.0,-26663963273.0,,0.9998999999999999,2204600000000.0,,
"99,98%","99,98%","99,98%",2.629.500.000.000,-,(*),"99,98%",2.629.500.000.000,-,(*),2629500000000.0,,,0.9998,2629500000000.0,,
"72,62%","72,62%","72,62%",2.000.000.000.000,-,(*),"72,62%",2.000.000.000.000,-,(*),2000000000000.0,,,0.7262000000000001,2000000000000.0,,
"99,99%","99,99%","99,99%",1.925.665.604.000,-,(*),"99,99%",1.925.665.604.000,-,(*),1925665604000.0,,,0.9998999999999999,1925665604000.0,,
"99,77%","99,77%","99,77%",1.910.786.560.000,-,(*),"99,77%",1.910.786.560.000,-,(*),1910786560000.0,,,0.9976999999999999,1910786560000.0,,
"99,99%","99,99%","99,99%",1.632.498.000.000,-,(*),"99,99%",1.632.498.000.000,-,(*),1632498000000.0,,,0.9998999999999999,1632498000000.0,,
"99,77%","99,77%","99,77%",909.320.762.158,-,(*),"99,77%",936.201.410.000,-,(*),909320762158.0,,,0.9976999999999999,936201410000.0,,
"99,97%","99,97%","99,97%",789.981.000.000,-,(*),"99,97%",789.981.000.000,-,(*),789981000000.0,,,0.9997,789981000000.0,,
"42,42%","42,42%","42,42%",732.869.100.000,(69.464.060.382),(*),"42,42%",732.869.100.000,(171.725.592.301),(*),732869100000.0,-69464060382.0,,0.4242,732869100000.0,-171725592301.0,
"99,99%","99,99%","99,99%",528.310.550.000,-,(*),"99,99%",528.310.550.000,-,(*),528310550000.0,,,0.9998999999999999,528310550000.0,,
"92,70%","92,70%","92,70%",374.918.018.977,-,(*),"92,70%",374.918.018.977,-,(*),374918018977.0,,,0.927,374918018977.0,,
"99,90%","99,90%","99,90%",97.788.674.667,-,(*),"99,90%",366.707.530.000,-,(*),97788674667.0,,,0.9990000000000001,366707530000.0,,
"51,00%","51,00%","51,00%",290.190.000.000,-,(*),"51,00%",290.190.000.000,-,(*),290190000000.0,,,0.51,290190000000.0,,
"73,00%","73,00%","73,00%",267.910.000.000,-,(*),"73,00%",267.910.000.000,-,(*),267910000000.0,,,0.73,267910000000.0,,
"92,27%","92,27%","92,27%",234.500.000.000,(234.500.000.000),(*),"92,27%",234.500.000.000,(165.207.034.533),(*),234500000000.0,-234500000000.0,,0.9227,234500000000.0,-165207034533.0,
"98,60%","98,60%","98,60%",211.998.000.000,(22.882.399.356),(*),"98,60%",211.998.000.000,-,(*),211998000000.0,-22882399356.0,,0.986,211998000000.0,,
"94,02%","94,02%","94,02%",173.000.000.000,-,(*),"94,02%",173.000.000.000,-,(*),173000000000.0,,,0.9401999999999999,173000000000.0,,
"99,99%","99,99%","99,99%",138.986.100.000,(77.192.237.371),(*),"99,99%",138.986.100.000,-,(*),138986100000.0,-77192237371.0,,0.9998999999999999,138986100000.0,,
"99,99%","99,99%","99,99%",99.995.000.000,-,(*),"99,99%",99.995.000.000,-,(*),99995000000.0,,,0.9998999999999999,99995000000.0,,
"51,00%","51,00%","51,00%",51.000.000.000,(33.147.551),(*),"51,00%",51.000.000.000,-,(*),51000000000.0,-33147551.0,,0.51,51000000000.0,,
