row_label_raw,row_label_full,Bên liên quan,Chức vụ,Tính chất thu nhập,Năm 2024,Năm 2023,numeric__Chức vụ,numeric__Tính chất thu nhập,numeric__Năm 2024,numeric__Năm 2023
1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,1. Hội đồng quản trị và Ủy ban kiểm toán,,,,
Bùi Thành Nhơn,1. Hội đồng quản trị và Ủy ban kiểm toán > Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,Thù lao,1.200.000.000,1.100.000.000,,,1200000000.0,1100000000.0
Phạm Tiến Vân,1. Hội đồng quản trị và Ủy ban kiểm toán > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên độc lập,Thù lao,600.000.000,600.000.000,,,600000000.0,600000000.0
Nguyễn Mỹ Hạnh,1. Hội đồng quản trị và Ủy ban kiểm toán > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên độc lập,Thù lao,600.000.000,600.000.000,,,600000000.0,600000000.0
Hoàng Đức Hùng,1. Hội đồng quản trị và Ủy ban kiểm toán > Hoàng Đức Hùng,Hoàng Đức Hùng,Thành viên độc lập,Thù lao,600.000.000,211.363.636,,,600000000.0,211363636.0
Ng Teck Yow,1. Hội đồng quản trị và Ủy ban kiểm toán > Ng Teck Yow,Ng Teck Yow,Thành viên HĐQT,Thù lao,200.000.000,60.434.783,,,200000000.0,60434783.0
Bùi Xuân Huy,1. Hội đồng quản trị và Ủy ban kiểm toán > Bùi Xuân Huy,Bùi Xuân Huy,Chủ tịch HĐQT,Thù lao,-,100.000.000,,,,100000000.0
Bùi Xuân Huy,1. Hội đồng quản trị và Ủy ban kiểm toán > Bùi Xuân Huy,Bùi Xuân Huy,Thành viên HĐQT,Thù lao,-,20.000.000,,,,20000000.0
Hoàng Thu Châu,1. Hội đồng quản trị và Ủy ban kiểm toán > Hoàng Thu Châu,Hoàng Thu Châu,Thành viên HĐQT,Thù lao,-,30.000.000,,,,30000000.0
Đỗ Thị Phương Lan,1. Hội đồng quản trị và Ủy ban kiểm toán > Đỗ Thị Phương Lan,Đỗ Thị Phương Lan,Thành viên,Thù lao,-,15.755.693,,,,15755693.0
Nguyễn Trần Đăng Phước,1. Hội đồng quản trị và Ủy ban kiểm toán > Nguyễn Trần Đăng Phước,Nguyễn Trần Đăng Phước,Thành viên,Thù lao,-,15.755.693,,,,15755693.0
