row_label_raw,row_label_full,Ng Teck Yow,Tổng Giám Đốc đến ngày 01/11/2024 > Tổng Giám Đốc từ ngày 01/11/2024,Tiền lương,4.266.799.172 > 678.260.870,3.287.238.095 > -,numeric__Tổng Giám Đốc đến ngày 01/11/2024 > Tổng Giám Đốc từ ngày 01/11/2024,numeric__Tiền lương,numeric__4.266.799.172 > 678.260.870,numeric__3.287.238.095 > -
Dương Văn Bắc,Dương Văn Bắc,Dương Văn Bắc,Phó Tổng Giám đốc Kiêm GĐ tài chính,Tiền lương,2.578.616.977,1.638.260.870,,,2578616977.0,1638260870.0
Dương Văn Bắc,Dương Văn Bắc,Dương Văn Bắc,Phó Tổng Giám đốc Kiêm GD tài chính,Tiền lương,302.608.696,-,,,302608696.0,
Trần Thị Thanh Vân,Trần Thị Thanh Vân,Trần Thị Thanh Vân,Phó Tổng Giám đốc Kiêm toán trường từ ngày 05/04/2024,Tiền lương,282.434.783,-,,,282434783.0,
Cao Trần Duy Nam,Cao Trần Duy Nam,Cao Trần Duy Nam,Phó Tổng Giám đốc Kiêm toán trường đến ngày 05/04/2024,Tiền lương,535.414.571,-,,,535414571.0,
Nguyễn Thùy Xuân Mai,Nguyễn Thùy Xuân Mai,Nguyễn Thùy Xuân Mai,Phó Tổng Giám đốc Kiêm toán trường đến ngày 05/04/2024,Tiền lương,296.208.000,1.050.711.96;,,,296208000.0,
Huỳnh Minh Lâm,Huỳnh Minh Lâm,Huỳnh Minh Lâm,Tổng Giám đốc Giám đốc,Tiền lương,-,591.360.00%,,,,591360.0
Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Phó Tổng Giám đốc Giám đốc,Tiền lương,-,146.298.435,,,,146298435.0
Dương Thị Thu Thủy,Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng Giám đốc Giám đốc,Tiền lương,-,228.556.800,,,,228556800.0
Võ Thị Cao Ly,Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng Giám đốc Giám đốc,Tiền lương,-,799.085.714,,,,799085714.0
Nguyễn Đức Dũng,Nguyễn Đức Dũng,Nguyễn Đức Dũng,đến ngày 29/5/2023,Tiền lương,-,,,,,
