row_label_raw,row_label_full,col_0,01/01/2024,Số phát sinh tăng,Số phát sinh giảm (đã nộp/cấn trừ),31/12/2024,numeric__01/01/2024,numeric__Số phát sinh tăng,numeric__Số phát sinh giảm (đã nộp/cấn trừ),numeric__31/12/2024
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,-,15.349.201.783,15.349.201.783,-,,15349201783.0,15349201783.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,6.490.556.054,54.797.751.059,61.138.890.750,149.416.363,6490556054.0,54797751059.0,61138890750.0,149416363.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.243.073.998,16.636.539.620,15.899.708.003,1.979.905.615,1243073998.0,16636539620.0,15899708003.0,1979905615.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,1.150.571.520,5.845.599.167,5.948.583.534,1.047.587.153,1150571520.0,5845599167.0,5948583534.0,1047587153.0
Cộng,Cộng,Cộng,8.884.201.572,92.629.091.629,98.336.384.070,3.176.909.131,8884201572.0,92629091629.0,98336384070.0,3176909131.0
