row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,,,
Số dư đầu năm,1. Nguyên giá > Số dư đầu năm,Số dư đầu năm,76.447.986.206,311.019.347.682,387.467.333.888,76447986206.0,311019347682.0,387467333888.0
Số dư cuối năm,1. Nguyên giá > Số dư cuối năm,Số dư cuối năm,76.447.986.206,311.019.347.682,387.467.333.888,76447986206.0,311019347682.0,387467333888.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,,,
Số dư đầu năm,2. Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,53.275.483.531,53.275.483.531,,53275483531.0,53275483531.0
Khấu hao trong năm,2. Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,6.092.808.181,6.092.808.181,,6092808181.0,6092808181.0
Số dư cuối năm,2. Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,59.368.291.712,59.368.291.712,,59368291712.0,59368291712.0
3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),,,
Số dư đầu năm,3. Giá trị còn lại (1-2) > Số dư đầu năm,Số dư đầu năm,76.447.986.206,257.743.864.151,334.191.850.357,76447986206.0,257743864151.0,334191850357.0
Số dư cuối năm,3. Giá trị còn lại (1-2) > Số dư cuối năm,Số dư cuối năm,76.447.986.206,251.651.055.970,328.099.042.176,76447986206.0,251651055970.0,328099042176.0
