row_label_raw,row_label_full,Bên cho vay,Ngày giải ngânNgày đáo hạn,31/12/2024,01/01/2024,numeric__Ngày giải ngânNgày đáo hạn,numeric__31/12/2024,numeric__01/01/2024
1. Vay ngắn hạn ngân hàng,1. Vay ngắn hạn ngân hàng,1. Vay ngắn hạn ngân hàng,,2.252.100.860.793,800.502.154.352,,2252100860793.0,800502154352.0
Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),28/10/202228/10/2025,935.300.000.000,-,,935300000000.0,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),19/10/202219/04/2025,17.250.000.000,9.200.000.000,,17250000000.0,9200000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),19/10/202219/04/2025,485.469.000.000,195.360.000.000,,485469000000.0,195360000000.0
Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),19/10/202219/04/2025,485.469.000.000,195.360.000.000,,485469000000.0,195360000000.0
Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),12/09/201915/06/2027,328.512.860.793,139.542.854.352,,328512860793.0,139542854352.0
Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),18/10/201915/06/2027,100.000.000,100.000.000,,100000000.0,100000000.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Đã tất toán,-,122.600.000.000,,,122600000000.0
The Hongkong and Shanghai Banking Corporation Limited Singapore Branch,The Hongkong and Shanghai Banking Corporation Limited Singapore Branch,The Hongkong and Shanghai Banking Corporation Limited Singapore Branch,Đã tất toán,-,138.339.300.000,,,138339300000.0
2. Vay dài hạn ngân hàng,2. Vay dài hạn ngân hàng,2. Vay dài hạn ngân hàng,,200.000.000,1.709.908.577.708,,200000000.0,1709908577708.0
Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),31/10/202231/10/2025,-,935.300.000.000,,,935300000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (2),19/10/202219/04/2025,-,293.040.000.000,,,293040000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),19/10/202219/04/2025,-,293.040.000.000,,,293040000000.0
Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),19/10/202219/04/2025,-,13.800.000.000,,,13800000000.0
Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),12/09/201915/06/2027,-,174.428.577.708,,,174428577708.0
Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),18/09/201915/06/2027,200.000.000,300.000.000,,200000000.0,300000000.0
Cộng,Cộng,Cộng,,2.252.300.860.793,2.510.410.732.060,,2252300860793.0,2510410732060.0
