row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,20.1,2.763.117.777.341,9.264.097.082.465,(8.585.692.174.547),3.441.522.685.259,201.0,2763117777341.0,9264097082465.0,-8585692174547.0,3441522685259.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,291.959.798.872,105.716.979.922,(291.959.798.872),105.716.979.922,202.0,291959798872.0,105716979922.0,-291959798872.0,105716979922.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,20.3,67.842.556.760,101.385.100.497,(67.842.556.760),101.385.100.497,203.0,67842556760.0,101385100497.0,-67842556760.0,101385100497.0
Trái phiếu đến hạn trả,Vay ngắn hạn > Trái phiếu đến hạn trả,Trái phiếu đến hạn trả,,150.000.000.000,-,(150.000.000.000),-,,150000000000.0,,-150000000000.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,3.272.920.132.973,9.471.199.162.884,(9.095.494.530.179),3.648.624.765.678,,3272920132973.0,9471199162884.0,-9095494530179.0,3648624765678.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,595.894.177.313,18.511.000.000,(174.447.135.667),439.958.041.646,202.0,595894177313.0,18511000000.0,-174447135667.0,439958041646.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,20.3,204.753.034.059,105.421.678.108,(130.274.153.893),179.900.558.274,203.0,204753034059.0,105421678108.0,-130274153893.0,179900558274.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,800.647.211.372,123.932.678.108,(304.721.289.560),619.858.599.920,,800647211372.0,123932678108.0,-304721289560.0,619858599920.0
