row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,38.844.984.794,(38.843.570.461),1.414.333,,38844984794.0,-38843570461.0,1414333.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,6.851.173.818,58.750.036.406,(46.241.243.661),19.359.966.563,6851173818.0,58750036406.0,-46241243661.0,19359966563.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,14.141.032.257,(14.141.032.257),-,,14141032257.0,-14141032257.0,
Thuế khác,Phải nộp > Thuế khác,Thuế khác,448.427,16.296.792.933,(16.297.241.360),-,448427.0,16296792933.0,-16297241360.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,6.851.622.245,128.032.846.390,(115.523.087.739),19.361.380.896,6851622245.0,128032846390.0,-115523087739.0,19361380896.0
,,,Số đầu năm,Số kê khai trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,29.386.325.424,24.426.018.866,(38.406.734.762),15.405.609.528,29386325424.0,24426018866.0,-38406734762.0,15405609528.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,29.386.325.424,24.426.018.866,(38.406.734.762),15.405.609.528,29386325424.0,24426018866.0,-38406734762.0,15405609528.0
