row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,69.209.136.696,72.181.929.627,69209136696.0,72181929627.0
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 29),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 29),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 29),3.352.850.501.119,2.834.473.237.165,3352850501119.0,2834473237165.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.422.059.637.815,2.906.655.166.792,3422059637815.0,2906655166792.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(399.850.254.523),(164.793.010.519),-399850254523.0,-164793010519.0
