row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 15),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15)
Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty liên kết,Cung cấp dịch vụ vận tải,9.428.151.504,6.425.254.184,,,9428151504.0,6425254184.0
,,,,,9.428.151.504,6.425.254.184,,,9428151504.0,6425254184.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16),,,,
Công ty TNHH Nutreco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Trả trước mua hàng hóa,106.724.127.118,-,,,106724127118.0,
Công ty TNHH CụmCông nghiệp Khúc Xuyên,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16) > Công ty TNHH CụmCông nghiệp Khúc Xuyên,Công ty TNHH CụmCông nghiệp Khúc Xuyên,Công ty con,Trả trước mua hàng hóa và dịch vụ,14.586.527.654,26.875.099.623,,,14586527654.0,26875099623.0
Công ty TNHH Du lịch vàKhách sạn Le Indochina,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16) > Công ty TNHH Du lịch vàKhách sạn Le Indochina,Công ty TNHH Du lịch vàKhách sạn Le Indochina,Công ty con,Trả trước mua hàng hóa và dịch vụ,9.346.746.061,3.651.690.100,,,9346746061.0,3651690100.0
,,,,,130.657.400.833,30.526.789.723,,,130657400833.0,30526789723.0
