row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),Số đầu năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Mối quan hệ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Nội dung nghiệp vụ > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Số cuối năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211),numeric__Số đầu năm > Phải thu khách hàng dài hạn (Chỉ tiêu 211)
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,Bán hàng hóa,297.734.420.465,540.786.425.257,,,297734420465.0,540786425257.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,187.756.746.815,208.556.510.387,,,187756746815.0,208556510387.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,166.258.749.711,148.923.318.380,,,166258749711.0,148923318380.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,162.273.333.895,143.444.535.057,,,162273333895.0,143444535057.0
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,Bán hàng hóa,101.607.488.201,-,,,101607488201.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,Bán hàng hóa,94.338.397.654,118.338.397.654,,,94338397654.0,118338397654.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,88.153.890.002,88.405.221.878,,,88153890002.0,88405221878.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,Bán hàng hóa,69.451.978.706,57.663.789.372,,,69451978706.0,57663789372.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,47.222.999.748,43.341.972.174,,,47222999748.0,43341972174.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,43.675.214.671,54.575.715.148,,,43675214671.0,54575715148.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Bán hàng hóa,35.922.215.216,-,,,35922215216.0,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Bán hàng hóa,29.442.113.371,50.086.613.188,,,29442113371.0,50086613188.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,-,16.509.560.589,,,,16509560589.0
