row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 1.152.394.300.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 2.519.525.606.761 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 550.941.210.740 > 319.222.296.752,Đơn vị tính: VND Tổng cộng > Năm trước: > 4.641.195.109.722 > 319.222.296.752,numeric__Vốn cổ phần đã phát hành > Năm trước: > 1.152.394.300.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 2.519.525.606.761 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 550.941.210.740 > 319.222.296.752,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 4.641.195.109.722 > 319.222.296.752
- Tăng vốn,- Tăng vốn,- Tăng vốn,1.152.394.300.000,-,(1.152.394.300.000),-,-,1152394300000.0,,-1152394300000.0,,
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,115.229.990.000,-,-,(115.239.430.000),(9.440.000),115229990000.0,,,-115239430000.0,-9440000.0
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,427.415.437.040,(427.415.437.040),-,,,427415437040.0,-427415437040.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(47.490.604.000),(47.490.604.000),,,,-47490604000.0,-47490604000.0
- Thù lao Hội đồng Quản trị và Ban Kiểm soát,- Thù lao Hội đồng Quản trị và Ban Kiểm soát,- Thù lao Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.390.000.000),(2.390.000.000),,,,-2390000000.0,-2390000000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.420.018.590.000,418.333.992.221,1.794.546.743.801,277.628.036.452,4.910.527.362.474,2420018590000.0,418333992221.0,1794546743801.0,277628036452.0,4910527362474.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,2.420.018.590.000,418.333.992.221,1.794.546.743.801,277.628.036.452,4.910.527.362.474,2420018590000.0,418333992221.0,1794546743801.0,277628036452.0,4910527362474.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,315.551.188.338,315.551.188.338,,,,315551188338.0,315551188338.0
- Trích lập quỹ đầu tư phát triển (*),Năm nay: > - Trích lập quỹ đầu tư phát triển (*),- Trích lập quỹ đầu tư phát triển (*),-,-,5.194.587.097,(5.194.587.097),-,,,5194587097.0,-5194587097.0,
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,2.420.018.590.000,418.333.992.221,1.799.741.330.898,587.984.637.693,5.226.078.550.812,2420018590000.0,418333992221.0,1799741330898.0,587984637693.0,5226078550812.0
