row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 7),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 7),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 7),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 7),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 7),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 7),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 7)
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,"Phải thu khấu hao, lãi vay và lợi nhuận được chia",53.033.694.053,60.992.412.784,,,53033694053.0,60992412784.0
Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty con,"Phải thu khấu hao, lãi vay và lợi nhuận được chia",52.401.657.868,-,,,52401657868.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,"Phải thu khấu hao, lãi vay và lợi nhuận được chia",47.956.939.662,23.293.769.446,,,47956939662.0,23293769446.0
Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chắn nuôi Dabaco Bình Phước,Công ty con,Phải thu khấu hao và lãi vay,43.239.167.220,32.196.584.508,,,43239167220.0,32196584508.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,Tài trợ vốn,38.252.044.087,649.813.593,,,38252044087.0,649813593.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,"Phải thu khấu hao, lãi vay và lợi nhuận được chia",34.093.970.382,22.120.156.059,,,34093970382.0,22120156059.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,"Phải thu khấu hao, lãi vay và lợi nhuận được chia",34.055.367.998,20.585.534.247,,,34055367998.0,20585534247.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Phải thu khấu hao và lãi vay,30.100.836.813,34.713.580.185,,,30100836813.0,34713580185.0
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Phải thu khấu hao và lãi vay,29.070.249.530,-,,,29070249530.0,
Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty con,Phải thu khấu hao và lãi vay,8.340.751.866,-,,,8340751866.0,
Các công ty con khác Phải thu khác từ thành viên quản lý chủ chốt,Các công ty con khác Phải thu khác từ thành viên quản lý chủ chốt,Các công ty con khác Phải thu khác từ thành viên quản lý chủ chốt,,Tài trợ vốn,17.085.836.1781.000.000.000,144.315.243.6381.000.000.000,,,1.70858361781e+20,1.443152436381e+21
