row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,692.643.672.096,550.161.656.119,,,692643672096.0,550161656119.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,Bán hàng hóa,357.261.825.288,409.141.753.040,,,357261825288.0,409141753040.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,320.388.275.197,186.659.123.899,,,320388275197.0,186659123899.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,288.571.999.036,98.845.010.569,,,288571999036.0,98845010569.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,258.651.935.787,180.217.602.913,,,258651935787.0,180217602913.0
Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,252.427.369.012,45.559.858.997,,,252427369012.0,45559858997.0
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,Bán hàng hóa,238.316.475.837,-,,,238316475837.0,
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,Bán hàng hóa,188.128.330.477,119.504.061.548,,,188128330477.0,119504061548.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Bán hàng hóa,158.249.123.105,150.834.641.339,,,158249123105.0,150834641339.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,129.680.777.207,53.188.100.357,,,129680777207.0,53188100357.0
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,Bán hàng hóa,110.737.169.130,795.203.528.687,,,110737169130.0,795203528687.0
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,Bán hàng hóa,87.924.456.041,80.671.746.208,,,87924456041.0,80671746208.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,Bán hàng hóa,82.958.282.572,39.896.291.119,,,82958282572.0,39896291119.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,64.436.459.069,21.031.529.120,,,64436459069.0,21031529120.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Bán hàng hóa,58.247.652.471,22.967.928.328,,,58247652471.0,22967928328.0
Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,Bán hàng hóa,29.110.000.000,-,,,29110000000.0,
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,Bán hàng hóa,18.420.447.794,-,,,18420447794.0,
Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty con,Bán hàng hóa,16.696.251.000,16.688.251.000,,,16696251000.0,16688251000.0
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Bán hàng hóa,-,63.902.153.922,,,,63902153922.0
