row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,numeric__Tên đơn vị,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết
1,1,1,Công ty TNHH Đầu thực vật Dabaco,280.015.514.371,-,100%,100%,280.015.514.371,-,100%,100%,,280015514371.0,,1.0,1.0,280015514371.0,,1.0,1.0
2,2,2,Công ty TNHH Du lịch và Khách sạn Le Indochina,183.092.545.909,(39.446.685.284),100%,100%,183.092.545.909,(41.376.726.025),100%,100%,,183092545909.0,-39446685284.0,1.0,1.0,183092545909.0,-41376726025.0,1.0,1.0
3,3,3,Công ty TNHH Xây dựng Đường H2,130.000.000.000,-,100%,100%,116.649.327.868,-,100%,100%,,130000000000.0,,1.0,1.0,116649327868.0,,1.0,1.0
4,4,4,Công ty TNHH Lợn giống hạt nhân Dabaco,121.312.447.573,(19.090.113.376),100%,100%,121.312.447.573,(9.025.825.572),100%,100%,,121312447573.0,-19090113376.0,1.0,1.0,121312447573.0,-9025825572.0,1.0,1.0
5,5,5,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,118.000.000.000,(20.871.310.067),100%,100%,118.000.000.000,(5.169.641.290),100%,100%,,118000000000.0,-20871310067.0,1.0,1.0,118000000000.0,-5169641290.0,1.0,1.0
6,6,6,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,100.000.000.000,-,100%,100%,100.000.000.000,-,100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,,1.0,1.0
7,7,7,Công ty TNHH Dabaco Thanh Hóa,100.000.000.000,-,100%,100%,-,-,0%,0%,,100000000000.0,,1.0,1.0,,,0.0,0.0
8,8,8,Công ty TNHH MTV Thương mại Hiệp Quang,71.283.160.000,-,100%,100%,71.283.160.000,-,100%,100%,,71283160000.0,,1.0,1.0,71283160000.0,,1.0,1.0
9,9,9,Công ty TNHH Dabaco Bình Phước,51.498.269.770,(51.498.269.770),100%,100%,51.498.269.770,(51.498.269.770),100%,100%,,51498269770.0,-51498269770.0,1.0,1.0,51498269770.0,-51498269770.0,1.0,1.0
10,10,10,Công ty TNHH Nutreco,50.190.568.966,-,100%,100%,50.190.568.966,-,100%,100%,,50190568966.0,,1.0,1.0,50190568966.0,,1.0,1.0
