row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.716.051.290.081,28.283.383.420,(1.878.516.850),9.742.456.156.651,9716051290081.0,28283383420.0,-1878516850.0,9742456156651.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận kế toán,Kết quả > Lợi nhuận kế toán,Lợi nhuận kế toán,194.393.004.020,140.658.183,-,194.533.662.203,194393004020.0,140658183.0,,194533662203.0
Lợi nhuận không phân bổ (*),Kết quả > Lợi nhuận không phân bổ (*),Lợi nhuận không phân bổ (*),,,,140.663.810.700,,,,140663810700.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,335.197.472.903,,,,335197472903.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,(9.319.740.999),(6.655.435.152),,(15.975.176.151),-9319740999.0,-6655435152.0,,-15975176151.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,319.222.296.752,,,,319222296752.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,8.540.067.886.482,1.313.688.862.163,2.236.617.742.367,12.090.374.491.012,8540067886482.0,1313688862163.0,2236617742367.0,12090374491012.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,8.540.067.886.482,1.313.688.862.163,-,9.853.756.748.645,8540067886482.0,1313688862163.0,,9853756748645.0
Tài sản không phân bổ (**),Tài sản và nợ phải trả > Tài sản không phân bổ (**),Tài sản không phân bổ (**),,,2.236.617.742.367,2.236.617.742.367,,,2236617742367.0,2236617742367.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,6.056.097.613.815,1.123.749.514.723,-,7.179.847.128.538,6056097613815.0,1123749514723.0,,7179847128538.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,6.056.097.613.815,1.123.749.514.723,-,7.179.847.128.538,6056097613815.0,1123749514723.0,,7179847128538.0
