row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.240.333.618.385,898.206.692.465,162.813.499.535,7.169.784.622,2.308.523.595.007,1240333618385.0,898206692465.0,162813499535.0,7169784622.0,2308523595007.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,17.495.235.745,5.438.060.000,-,22.933.295.745,,17495235745.0,5438060000.0,,22933295745.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,708.492.241.769,420.879.693.482,19.893.785.964,4.644.489.546,1.153.910.210.761,708492241769.0,420879693482.0,19893785964.0,4644489546.0,1153910210761.0
- Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Nguyên giá: > - Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),- Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),-,79.158.849.945,-,-,79.158.849.945,,79158849945.0,,,79158849945.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(24.903.127.318),(261.150.309.472),(462.359.582),(1.347.970.933),(287.863.767.305),-24903127318.0,-261150309472.0,-462359582.0,-1347970933.0,-287863767305.0
- Tài sản điều chuyển cho công ty con (*),Nguyên giá: > - Tài sản điều chuyển cho công ty con (*),- Tài sản điều chuyển cho công ty con (*),(91.773.397.188),(21.554.954.301),-,-,(113.328.351.489),-91773397188.0,-21554954301.0,,,-113328351489.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(2.000.000.000),-,-,-,(2.000.000.000),-2000000000.0,,,,-2000000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.830.149.335.648,1.133.035.207.864,187.682.985.917,10.466.303.235,3.161.333.832.664,1830149335648.0,1133035207864.0,187682985917.0,10466303235.0,3161333832664.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,20.863.888.698,196.217.629.053,61.542.910.225,4.402.149.282,283.026.577.258,20863888698.0,196217629053.0,61542910225.0,4402149282.0,283026577258.0
